tenant_a,topic_a,tenant_b,topic_b,shared_keys,keys
kescience,genome,protect,annotation,1,feature_id
kescience,genome,nmdc,multiomics,1,feature_id
kescience,genome,refdata,taxonomy,1,genome_id
kescience,genome,refdata,genome,1,genome_id
kescience,genome,msyscolo,genome,1,genome_id
kbase,pathway,refdata,reference_protein,1,gene_cluster_id
kbase,pangenome,planetmicrobe,annotation,1,pfam
kbase,pathway,protect,taxonomy,1,eggnog
kbase,pathway,enigma,taxonomy,1,eggnog
kbase,pathway,kescience,structural,1,gene_cluster_id
kbase,pathway,protect,integration,1,kegg_ko
kbase,pathway,kescience,fitness_phenotype,1,ec_number
kbase,pathway,arkinlab,annotation,1,ec_number
kbase,pathway,refdata,genome,1,genome_id
kbase,pathway,protect,genome,1,genome_id
kbase,pathway,msyscolo,genome,1,genome_id
kbase,pathway,kescience,taxonomy,1,genome_id
kbase,pathway,kescience,genome,1,genome_id
kbase,pangenome,nmdc,environment,1,biosample_id
kbase,pathway,protect,multiomics,1,kegg_pathway
arkinlab,mobile_phage,protect,genome,1,genome_id
arkinlab,mobile_phage,phagefoundry,mobile_phage,1,genome_id
arkinlab,mobile_phage,msyscolo,genome,1,genome_id
arkinlab,mobile_phage,kescience,taxonomy,1,genome_id
arkinlab,mobile_phage,kescience,pathway,1,genome_id
arkinlab,mobile_phage,kescience,genome,1,genome_id
arkinlab,mobile_phage,kbase,pathway,1,genome_id
arkinlab,mobile_phage,kbase,pangenome,1,genome_id
arkinlab,mobile_phage,enigma,multiomics,1,genome_id
arkinlab,mobile_phage,enigma,genome,1,genome_id
arkinlab,genome,enigma,genome,1,genome_id
kbase,reference_protein,refdata,reference_protein,1,gene_cluster_id
enigma,multiomics,kescience,annotation,1,genome_id
netl,taxonomy,protect,environment,1,sample_id
nmdc,taxonomy,kbase,taxonomy,1,ncbi_taxon_id
enigma,genome,refdata,literature,1,ncbi_taxon_id
arkinlab,genome,protect,integration,1,feature_id
arkinlab,genome,nmdc,integration,1,feature_id
arkinlab,genome,kbase,multiomics,1,feature_id
arkinlab,genome,kbase,genome,1,feature_id
arkinlab,genome,nmdc,biochemistry,1,ec_number
arkinlab,genome,nmdc,annotation,1,ec_number
arkinlab,genome,kescience,fitness_phenotype,1,ec_number
arkinlab,genome,enigma,annotation,1,ec_number
arkinlab,genome,refdata,taxonomy,1,genome_id
arkinlab,mobile_phage,kescience,annotation,1,genome_id
enigma,multiomics,kescience,taxonomy,1,genome_id
enigma,genome,planetmicrobe,taxonomy,1,ncbi_taxon_id
enigma,genome,kbase,taxonomy,1,ncbi_taxon_id
enigma,genome,protect,environment,1,sample_id
enigma,genome,planetmicrobe,field_observational,1,sample_id
enigma,genome,nmdc,field_observational,1,sample_id
enigma,genome,netl,taxonomy,1,sample_id
enigma,genome,ese,environment,1,sample_id
enigma,genome,ese,integration,1,sample_id
enigma,genome,arkinlab,field_observational,1,sample_id
arkinlab,genome,kescience,annotation,1,genome_id
enigma,genome,netl,literature,1,sample_id
arkinlab,mobile_phage,refdata,genome,1,genome_id
enigma,genome,protect,integration,1,sample_id
enigma,genome,nmdc,integration,1,sample_id
enigma,genome,refdata,structural,1,ncbi_taxon_id
enigma,genome,protect,annotation,1,sample_id
enigma,genome,nmdc,multiomics,1,ncbi_taxon_id
enigma,genome,msyscolo,genome,1,genome_id
enigma,genome,kescience,annotation,1,genome_id
enigma,genome,kescience,taxonomy,1,genome_id
enigma,genome,kescience,pathway,1,genome_id
enigma,genome,kescience,genome,1,genome_id
enigma,genome,kbase,pathway,1,genome_id
enigma,genome,kbase,pangenome,1,genome_id
arkinlab,mobile_phage,refdata,taxonomy,1,genome_id
enigma,genome,kescience,structural,1,ncbi_taxon_id
arkinlab,annotation,enigma,annotation,1,ec_number
refdata,taxonomy,kbase,reference_protein,1,gene_cluster_id
refdata,taxonomy,planetmicrobe,taxonomy,1,ncbi_taxon_id
refdata,taxonomy,kbase,taxonomy,1,ncbi_taxon_id
refdata,taxonomy,nmdc,fitness_phenotype,1,ncbi_taxon_id
refdata,taxonomy,netl,taxonomy,1,gtdb_taxonomy
refdata,taxonomy,enigma,taxonomy,1,ncbi_taxon_id
refdata,taxonomy,kescience,literature,1,species
refdata,taxonomy,protect,annotation,1,species
refdata,taxonomy,nmdc,multiomics,1,ncbi_taxon_id
refdata,genome,usgs,field_observational,1,lat_lon
refdata,genome,msyscolo,field_observational,1,lat_lon
kescience,pathway,refdata,genome,1,genome_id
refdata,genome,protect,environment,1,sample_id
arkinlab,genome,refdata,genome,1,genome_id
refdata,genome,nmdc,fitness_phenotype,1,sample_id
refdata,genome,nmdc,field_observational,1,sample_id
refdata,genome,netl,taxonomy,1,sample_id
