orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS01135	A4249_RS01135		DsbA family protein	0.685	1.078	0.885	0.874
Brev2	A4249_RS01140	A4249_RS01140		malate dehydrogenase	0.020	1.590	0.110	0.168
Brev2	A4249_RS01145	A4249_RS01145		OsmC family protein	0.171	-0.342	-1.416	0.941
Brev2	A4249_RS01160	A4249_RS01160		DNA adenine methylase	0.740	-0.186	0.496	0.257
Brev2	A4249_RS01165	A4249_RS01165		hypothetical protein	-0.884	-0.987	0.092	0.556
Brev2	A4249_RS01180	A4249_RS01180		hypothetical protein	0.845	0.321	0.268	0.887
Brev2	A4249_RS01190	A4249_RS01190		hypothetical protein	0.442	-1.771	-0.271	-0.206
Brev2	A4249_RS01195	A4249_RS01195		TIGR02594 family protein	-0.093	-1.958	-0.789	-0.155
Brev2	A4249_RS01205	A4249_RS01205		hypothetical protein	-0.732	0.605	0.393	-0.061
Brev2	A4249_RS01210	A4249_RS01210		hypothetical protein	-0.709	-0.648	-0.122	-0.739
Brev2	A4249_RS01215	A4249_RS01215		hypothetical protein	-0.455	-0.005	1.175	0.567
Brev2	A4249_RS01220	A4249_RS01220		hypothetical protein	-0.802	-0.614	-1.765	-0.480
Brev2	A4249_RS01225	A4249_RS01225		hypothetical protein	0.182	-0.810	0.655	-0.556
Brev2	A4249_RS01230	A4249_RS01230		hypothetical protein	1.103	-1.162	0.971	1.679
Brev2	A4249_RS01235	A4249_RS01235		hypothetical protein	-0.485	0.093	-0.107	-0.453
Brev2	A4249_RS01240	A4249_RS01240		hypothetical protein	-0.872	-0.244	-0.018	1.221
Brev2	A4249_RS01245	A4249_RS01245		hypothetical protein	-0.609	0.063	-1.019	-0.839
Brev2	A4249_RS01250	A4249_RS01250		hypothetical protein	-0.753	0.616	-0.809	-0.076
Brev2	A4249_RS01255	A4249_RS01255		phage tail tube protein	-1.156	-0.888	-0.894	0.105
Brev2	A4249_RS01265	A4249_RS01265		hypothetical protein	0.437	-0.053	0.305	-0.225
Brev2	A4249_RS01270	A4249_RS01270		DUF6441 family protein	-0.658	-1.557	-0.944	-0.847
Brev2	A4249_RS01275	A4249_RS01275		hypothetical protein	-0.076	2.269	-0.258	0.262
Brev2	A4249_RS01280	A4249_RS01280		major capsid protein	0.437	1.243	0.894	0.684
Brev2	A4249_RS01285	A4249_RS01285		head decoration protein	-0.449	0.815	1.724	1.088
Brev2	A4249_RS01290	A4249_RS01290		S49 family peptidase	-3.040	-0.344	-0.420	0.004
Brev2	A4249_RS01295	A4249_RS01295		phage portal protein	-0.099	0.805	0.813	-0.124
Brev2	A4249_RS01300	A4249_RS01300		gpW family head-tail joining protein	0.494	0.815	0.212	0.942
Brev2	A4249_RS01305	A4249_RS01305		phage terminase large subunit family protein	-0.793	0.093	-0.112	0.544
Brev2	A4249_RS01310	A4249_RS01310		hypothetical protein	-0.837	-0.287	1.294	1.776
Brev2	A4249_RS01315	A4249_RS01315		hypothetical protein	-1.319	-1.518	-3.831	-1.463
Brev2	A4249_RS01320	A4249_RS01320		hypothetical protein	-0.260	1.149	-0.077	0.157
Brev2	A4249_RS01325	A4249_RS01325		hypothetical protein	-0.640	0.370	0.496	-0.564
Brev2	A4249_RS01340	A4249_RS01340		phosphoadenosine phosphosulfate reductase family protein	-0.522	-1.113	-1.551	-1.788
Brev2	A4249_RS01355	A4249_RS01355		hypothetical protein	0.932	0.699	0.038	0.172
Brev2	A4249_RS01400	A4249_RS01400		ParB N-terminal domain-containing protein	0.737	-0.066	-1.793	-0.415
Brev2	A4249_RS01405	A4249_RS01405		hypothetical protein	-1.592	-0.960	-2.395	-0.002
Brev2	A4249_RS01410	A4249_RS01410		hypothetical protein	-0.610	-2.173	-1.055	-3.189
Brev2	A4249_RS01415	A4249_RS01415		phage Gp37/Gp68 family protein	-0.899	-1.221	0.622	0.704
Brev2	A4249_RS01420	A4249_RS01420		hypothetical protein	0.315	0.343	0.204	1.496
Brev2	A4249_RS01425	A4249_RS01425		hypothetical protein	0.088	0.743	-0.038	0.464
Brev2	A4249_RS01430	A4249_RS01430		DUF2786 domain-containing protein	-1.017	-0.404	-0.181	0.590
Brev2	A4249_RS01440	A4249_RS01440		tyrosine-type recombinase/integrase	0.474	-0.769	0.884	-0.035
Brev2	A4249_RS01450	A4249_RS01450		SIMPL domain-containing protein	0.669	0.169	1.278	0.911
Brev2	A4249_RS01460	A4249_RS01460		signal peptide peptidase SppA	-4.012	-4.640	-3.905	-4.693
Brev2	A4249_RS01465	A4249_RS01465		hypothetical protein	-1.644	-1.758	-3.126	-3.638
Brev2	A4249_RS01480	A4249_RS01480		cell division protein MraZ	1.149	0.880	0.849	-0.284
Brev2	A4249_RS01530	A4249_RS01530		mechanosensitive ion channel family protein	-1.143	0.189	-0.216	-0.552
Brev2	A4249_RS01535	A4249_RS01535		hypothetical protein	-0.473	0.576	1.338	1.001
Brev2	A4249_RS01540	A4249_RS01540		chromosome segregation protein SMC	-2.299	-1.066	-0.788	-3.169
Brev2	A4249_RS01545	A4249_RS01545		thioredoxin domain-containing protein	-2.879	-1.702	-1.796	-1.746
Brev2	A4249_RS01555	A4249_RS01555		response regulator	-1.461	-0.046	-0.435	-1.046
Brev2	A4249_RS01560	A4249_RS01560		histidine kinase dimerization/phosphoacceptor domain -containing protein	0.097	-0.796	-1.352	-0.584
Brev2	A4249_RS01570	A4249_RS01570		A/G-specific adenine glycosylase	0.092	0.330	0.235	-0.619
Brev2	A4249_RS01575	A4249_RS01575		amylo-alpha-1,6-glucosidase	-0.119	1.130	2.047	-0.121
Brev2	A4249_RS01580	A4249_RS01580		VWA domain-containing protein	-0.355	-0.023	-0.510	-1.148
Brev2	A4249_RS01585	A4249_RS01585		glycosyltransferase family 4 protein	-0.343	0.888	-0.576	0.960
Brev2	A4249_RS01590	A4249_RS01590		site-specific DNA-methyltransferase	0.331	0.635	3.176	-0.700
Brev2	A4249_RS01595	A4249_RS01595		hypothetical protein	-1.391	-0.896	-0.782	-0.494
Brev2	A4249_RS01600	A4249_RS01600		HlyD family secretion protein	0.520	-7.359	-0.077	-7.169
Brev2	A4249_RS01605	A4249_RS01605		MFS transporter	-0.102	-7.433	-0.150	-8.353
Brev2	A4249_RS01610	A4249_RS01610		TetR/AcrR family transcriptional regulator	-0.121	-0.292	-0.606	0.529
Brev2	A4249_RS01615	A4249_RS01615		GNAT family N-acetyltransferase	1.641	2.394	2.320	1.517
Brev2	A4249_RS01620	A4249_RS01620		S46 family peptidase	0.116	1.247	1.530	0.779
Brev2	A4249_RS01625	A4249_RS01625		S46 family peptidase	-1.972	-1.902	-4.251	-2.849
Brev2	A4249_RS01630	A4249_RS01630		ABC transporter permease	0.627	1.648	-0.392	-1.243
Brev2	A4249_RS01635	A4249_RS01635		ABC transporter ATP-binding protein	-0.333	-0.102	-1.493	-0.816
Brev2	A4249_RS01640	A4249_RS01640		biotin/lipoyl-binding protein	1.864	0.959	-0.259	-1.480
Brev2	A4249_RS01645	A4249_RS01645		crotonase/enoyl-CoA hydratase family protein	-0.831	1.018	-0.047	-1.079
Brev2	A4249_RS01650	A4249_RS01650		DUF1289 domain-containing protein	-1.247	-1.940	-1.830	-1.040
Brev2	A4249_RS01655	A4249_RS01655		TIGR02281 family clan AA aspartic protease	1.439	0.651	1.752	0.115
