orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS00910	A4249_RS00910		2OG-Fe(II) oxygenase family protein	-0.180	-0.052	-0.436	-0.233
Brev2	A4249_RS00915	A4249_RS00915		hypothetical protein	0.029	0.233	0.079	0.125
Brev2	A4249_RS00925	A4249_RS00925		multidrug efflux SMR transporter	0.126	-0.446	0.076	-0.787
Brev2	A4249_RS00930	A4249_RS00930		glutathione S-transferase family protein	-0.232	0.161	0.051	-0.129
Brev2	A4249_RS00935	A4249_RS00935		lytic transglycosylase domain-containing protein	-0.103	-0.392	-0.130	-0.886
Brev2	A4249_RS00950	A4249_RS00950		tetratricopeptide repeat protein	-0.446	-0.531	-0.778	-0.850
Brev2	A4249_RS00960	A4249_RS00960		fasciclin domain-containing protein	-0.179	-0.325	-0.103	-0.225
Brev2	A4249_RS00975	A4249_RS00975		DUF559 domain-containing protein	-0.130	-0.402	-0.473	-0.151
Brev2	A4249_RS00980	A4249_RS00980		pyruvate, phosphate dikinase	0.107	-4.474	0.317	-4.482
Brev2	A4249_RS00985	A4249_RS00985		porin family protein	0.211	0.065	0.178	0.028
Brev2	A4249_RS00990	A4249_RS00990		hypothetical protein	0.147	-0.123	-0.217	-0.277
Brev2	A4249_RS00995	A4249_RS00995		M48 family metallopeptidase	-0.081	0.089	0.058	-0.075
Brev2	A4249_RS01000	A4249_RS01000		DoxX family protein	0.218	0.388	0.388	0.508
Brev2	A4249_RS01005	A4249_RS01005		beta-ketoacyl-ACP synthase III	0.396	-0.317	0.015	0.173
Brev2	A4249_RS01010	A4249_RS01010		capsular polysaccharide biosynthesis protein	-2.891	-3.140	-1.292	-1.454
Brev2	A4249_RS01015	A4249_RS01015		CoA ester lyase	0.063	0.117	0.039	0.044
Brev2	A4249_RS01020	A4249_RS01020		SDR family NAD(P)-dependent oxidoreductase	0.188	-0.011	-0.016	0.091
Brev2	A4249_RS01025	A4249_RS01025		GAF domain-containing protein	0.059	0.052	0.504	0.294
Brev2	A4249_RS01030	A4249_RS01030		hypothetical protein	0.215	0.185	0.166	0.368
Brev2	A4249_RS01035	A4249_RS01035		S8 family serine peptidase	0.019	0.039	0.110	0.056
Brev2	A4249_RS01040	A4249_RS01040		hypothetical protein	-0.083	0.027	-0.011	0.028
Brev2	A4249_RS01045	A4249_RS01045		osmoprotectant NAGGN system M42 family peptidase	-0.152	-0.046	0.022	0.224
Brev2	A4249_RS01050	A4249_RS01050		N-acetylglutaminylglutamine synthetase	0.101	0.162	0.117	0.116
Brev2	A4249_RS01055	A4249_RS01055		N-acetylglutaminylglutamine amidotransferase	0.068	0.275	0.209	0.145
Brev2	A4249_RS01065	A4249_RS01065		SLC13 family permease	-0.025	0.013	-0.210	-0.115
Brev2	A4249_RS01070	A4249_RS01070		DoxX family protein	0.163	-0.014	-0.037	0.229
Brev2	A4249_RS01075	A4249_RS01075		DNA-binding domain-containing protein	0.354	0.415	-0.085	0.594
Brev2	A4249_RS01080	A4249_RS01080		DUF692 domain-containing protein	0.259	0.180	0.197	0.209
Brev2	A4249_RS01085	A4249_RS01085		DUF2282 domain-containing protein	-0.523	-0.242	-0.975	-1.304
Brev2	A4249_RS01090	A4249_RS01090		sigma-70 family RNA polymerase sigma factor	0.168	0.160	0.426	0.400
Brev2	A4249_RS01100	A4249_RS01100		MBL fold metallo-hydrolase	-0.518	-0.397	-0.271	-0.345
Brev2	A4249_RS01105	A4249_RS01105		YncE family protein	-0.046	0.068	-0.024	-0.069
Brev2	A4249_RS01110	A4249_RS01110		DUF305 domain-containing protein	0.089	0.158	0.469	0.434
Brev2	A4249_RS01115	A4249_RS01115		LysR substrate-binding domain-containing protein	-0.318	-0.559	0.540	0.091
Brev2	A4249_RS01120	A4249_RS01120		uracil-DNA glycosylase	0.216	-0.260	0.210	-0.142
Brev2	A4249_RS01125	A4249_RS01125		hypothetical protein	0.091	0.209	0.095	0.098
Brev2	A4249_RS01130	A4249_RS01130		TDT family transporter	-0.017	-0.053	0.140	-0.022
Brev2	A4249_RS01135	A4249_RS01135		DsbA family protein	0.185	0.223	0.328	0.218
Brev2	A4249_RS01140	A4249_RS01140		malate dehydrogenase	0.004	0.266	0.021	0.030
Brev2	A4249_RS01145	A4249_RS01145		OsmC family protein	0.034	-0.069	-0.364	0.186
Brev2	A4249_RS01160	A4249_RS01160		DNA adenine methylase	0.116	-0.028	0.085	0.042
Brev2	A4249_RS01165	A4249_RS01165		hypothetical protein	-0.168	-0.165	0.018	0.104
Brev2	A4249_RS01180	A4249_RS01180		hypothetical protein	0.098	0.037	0.032	0.107
Brev2	A4249_RS01190	A4249_RS01190		hypothetical protein	0.248	-0.857	-0.155	-0.140
Brev2	A4249_RS01195	A4249_RS01195		TIGR02594 family protein	-0.026	-0.389	-0.168	-0.035
Brev2	A4249_RS01205	A4249_RS01205		hypothetical protein	-0.095	0.078	0.056	-0.008
Brev2	A4249_RS01210	A4249_RS01210		hypothetical protein	-0.124	-0.109	-0.020	-0.136
Brev2	A4249_RS01215	A4249_RS01215		hypothetical protein	-0.205	-0.002	0.556	0.357
Brev2	A4249_RS01220	A4249_RS01220		hypothetical protein	-0.299	-0.238	-0.571	-0.193
Brev2	A4249_RS01225	A4249_RS01225		hypothetical protein	0.021	-0.094	0.076	-0.064
Brev2	A4249_RS01230	A4249_RS01230		hypothetical protein	0.599	-0.652	0.667	0.904
Brev2	A4249_RS01235	A4249_RS01235		hypothetical protein	-0.378	0.071	-0.093	-0.360
Brev2	A4249_RS01240	A4249_RS01240		hypothetical protein	-0.139	-0.038	-0.003	0.179
Brev2	A4249_RS01245	A4249_RS01245		hypothetical protein	-0.086	0.009	-0.145	-0.120
Brev2	A4249_RS01250	A4249_RS01250		hypothetical protein	-0.112	0.093	-0.144	-0.012
