orgId	locusId	sysName	geneName	desc	set1IT067 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set1IT070 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set2IT059 M63_quarter_strength	set2IT062 CPG	set2IT063 M63_quarter_strength	set4IT033 CPG	set4IT034 M63_quarter_strength
RalstoniaGMI1000	RS_RS00500	RS_RS00500		hypothetical protein	0.120	0.375	-0.215	-0.252	-0.345	0.082	-0.044
RalstoniaGMI1000	RS_RS00505	RS_RS00505		hypothetical protein	-0.008	-0.093	-0.078	0.101	-0.086	-0.178	-0.161
RalstoniaGMI1000	RS_RS00515	RS_RS00515		hemolysin	0.022	0.267	-0.192	0.061	0.088	0.012	0.060
RalstoniaGMI1000	RS_RS00520	RS_RS00520		hypothetical protein	-0.438	-1.601	0.080	-0.252	-0.297	-0.108	-0.189
RalstoniaGMI1000	RS_RS00525	RS_RS00525		VOC family protein	-0.062	-0.138	0.180	-0.115	0.028	-0.199	-0.262
RalstoniaGMI1000	RS_RS00555	RS_RS00555		phosphomethylpyrimidine synthase	-3.207	-2.331	-0.001	-0.071	-0.081	-0.063	-0.019
RalstoniaGMI1000	RS_RS00560	RS_RS00560		nitronate monooxygenase	-0.136	0.021	0.085	0.444	0.033	0.423	-0.170
RalstoniaGMI1000	RS_RS00565	RS_RS00565		autotransporter domain-containing protein	0.014	0.016	-0.005	0.111	0.016	-0.012	-0.089
RalstoniaGMI1000	RS_RS00570	RS_RS00570		hypothetical protein	-0.025	-0.045	0.196	0.138	0.172	-0.007	-0.054
RalstoniaGMI1000	RS_RS00575	RS_RS00575		hypothetical protein	0.081	-0.158	-0.027	-0.281	-0.104	-0.169	-0.092
RalstoniaGMI1000	RS_RS00580	RS_RS00580		hypothetical protein	0.057	0.248	-0.024	-0.027	-0.204	-0.089	-0.220
RalstoniaGMI1000	RS_RS00585	RS_RS00585		hypothetical protein	-0.267	-0.027	0.176	-0.079	-0.004	-0.293	-0.009
RalstoniaGMI1000	RS_RS00590	RS_RS00590		GNAT family N-acetyltransferase	-0.026	-0.586	-0.395	0.439	-0.582	0.119	0.024
RalstoniaGMI1000	RS_RS00595	RS_RS00595		acyl-CoA dehydrogenase	0.006	0.372	0.652	-0.458	-0.060	-0.277	0.227
RalstoniaGMI1000	RS_RS00600	RS_RS00600		amino acid ABC transporter substrate-binding protein	-0.012	-0.061	-0.109	0.137	0.270	-0.139	-0.085
RalstoniaGMI1000	RS_RS00605	RS_RS00605		FAD-binding protein	0.092	-0.054	0.136	0.141	-0.036	0.123	-0.006
RalstoniaGMI1000	RS_RS00615	RS_RS00615		transcriptional regulator	-0.017	0.152	0.030	0.217	0.067	-0.446	-0.062
RalstoniaGMI1000	RS_RS00620	RS_RS00620		hypothetical protein	0.221	0.047	-0.523	-0.027	-0.115	-0.133	-0.260
RalstoniaGMI1000	RS_RS00625	RS_RS00625		YncE family protein	0.019	0.153	0.167	0.056	-0.029	0.030	-0.003
RalstoniaGMI1000	RS_RS00630	RS_RS00630		Lrp/AsnC family transcriptional regulator	-0.152	-0.383	-0.186	-0.386	-0.399	0.182	0.314
RalstoniaGMI1000	RS_RS00635	RS_RS00635		glutathione S-transferase	-0.013	0.554	0.238	-0.080	-0.043	-0.015	0.126
RalstoniaGMI1000	RS_RS00640	RS_RS00640		HPP family protein	-0.010	-0.670	-0.219	-0.030	-0.068	0.254	0.021
RalstoniaGMI1000	RS_RS00645	RS_RS00645		phosphatase PAP2 family protein	0.017	0.040	-0.009	0.052	0.107	0.001	0.091
RalstoniaGMI1000	RS_RS00650	RS_RS00650		AraC family transcriptional regulator	-0.060	0.037	0.083	-0.128	-0.138	0.082	-0.061
RalstoniaGMI1000	RS_RS00655	RS_RS00655		GYD domain-containing protein	-0.486	-2.132	-0.599	-0.444	-0.346	0.411	-0.530
RalstoniaGMI1000	RS_RS00665	RS_RS00665		lauroyl acyltransferase	-0.889	-0.971	-0.327	-1.166	-0.478	-1.279	-0.301
RalstoniaGMI1000	RS_RS00680	RS_RS00680		polyphosphate kinase 2 family protein	0.145	-0.075	-0.008	-0.012	0.053	0.077	0.063
RalstoniaGMI1000	RS_RS00690	RS_RS00690		exodeoxyribonuclease III	-0.154	0.447	0.009	0.070	-0.280	-0.002	-0.216
RalstoniaGMI1000	RS_RS00695	RS_RS00695		hypothetical protein	0.091	0.032	-0.078	0.000	0.050	-0.026	-0.089
RalstoniaGMI1000	RS_RS00705	RS_RS00705		SRPBCC domain-containing protein	0.060	0.292	0.072	-0.088	-0.086	-0.092	-0.043
RalstoniaGMI1000	RS_RS00710	RS_RS00710		transcriptional regulator	0.025	0.067	-0.023	-0.314	-0.119	-0.307	-0.302
RalstoniaGMI1000	RS_RS00715	RS_RS00715		membrane protein	0.018	0.381	0.016	0.194	-0.081	-0.086	-0.107
RalstoniaGMI1000	RS_RS00720	RS_RS00720		YdcF family protein	0.190	0.178	0.058	-0.158	-0.113	0.388	0.120
RalstoniaGMI1000	RS_RS00730	RS_RS00730		hypothetical protein	-0.096	-1.045	-0.227	-0.356	0.273	0.098	-0.220
RalstoniaGMI1000	RS_RS00735	RS_RS00735		MarR family transcriptional regulator	0.214	0.413	0.222	-0.154	-0.685	0.095	0.237
RalstoniaGMI1000	RS_RS00740	RS_RS00740		hypothetical protein	-0.113	0.282	0.026	-0.350	-0.321	-0.668	-0.261
RalstoniaGMI1000	RS_RS00750	RS_RS00750		hypothetical protein	-0.035	0.240	-0.273	0.056	-0.298	-0.054	0.089
RalstoniaGMI1000	RS_RS00755	RS_RS00755		M48 family peptidase	-0.430	0.847	0.432	0.842	0.178	0.025	-0.263
RalstoniaGMI1000	RS_RS00760	RS_RS00760		MFS transporter	-0.107	0.004	-0.251	-0.222	-0.197	-0.204	-0.254
RalstoniaGMI1000	RS_RS00770	RS_RS00770		short chain dehydrogenase	-0.171	-0.117	-0.209	0.218	0.193	-0.391	-0.266
RalstoniaGMI1000	RS_RS00780	RS_RS00780		arginase	-0.410	-0.449	-0.105	-0.292	-0.145	0.005	-0.077
RalstoniaGMI1000	RS_RS00785	RS_RS00785		ornithine--oxo-acid transaminase	0.014	0.031	-0.204	-0.506	-0.140	0.214	0.335
