genus_lower,biome_H_std,ko_per_mb_total_z,disc_per_mb_z
aquicella,0.5963911168785871,1.5649732551432545,1.238669772951931
aquimarina,0.547707702750724,-0.6707608815203882,-0.9055759811843849
arachnia,0.6354915128799341,-0.22210862096497921,0.17643157487917002
arcanobacterium,0.24195476309381428,0.23019110490890743,2.0344847117189215
arenicella,0.2597937920221769,0.7853831526127524,0.11947946487888964
arenimonas,0.6046235277531994,2.089221726128567,2.4643356353010364
aridibacter,0.5848976853587126,0.4947769320518272,-0.7573824693622522
aromatoleum,0.4470569486704996,0.2502973561806956,-0.4949829178011155
arsenophonus,0.5035248924357199,1.211939898836356,0.9799102402361971
arthrobacter,0.5918301346717605,-0.44828378645793476,-0.32497915953157197
asticcacaulis,0.7480632108310825,-0.6055820976694667,-0.1276764131093712
aurantimonas,0.6857839877821095,-0.5071596741457371,0.864885969913773
aureimonas,0.6994782622744694,-0.6648143471200871,0.08876647568975718
azoarcus,0.512494614550049,-0.1305782452121673,0.07510171918114462
azonexus,0.39980358915700637,1.3399502993424632,0.007763869699039878
azospira,0.3103922716142476,1.7256003646550888,-0.3172863820166851
azospirillum,0.5752122617372253,-1.121339226447808,-0.22286319550208322
azotobacter,0.5438125599297093,0.09150021347792367,0.6887950824267348
bacillus,0.5691750722224815,-0.395048011486097,0.7020554095679667
bacteriovorax,0.5012131168146066,0.7176532432019392,0.641651729618354
bacteroides,0.3854344521658979,-0.7639243990538549,-1.1868114357917614
barnesiella,0.4012610513464894,0.12080797286297955,-0.5997265798570838
bartonella,0.5484817054947019,-0.8466100295481458,0.7596116312662134
bdellovibrio,0.5692607351587806,0.2927851728511044,0.6616080019635175
bellilinea,0.2346699159845275,-0.6751133401883516,-0.28898517459323286
bergeyella,0.30778803271088495,0.43458027073800837,-0.005768689006184337
bifidobacterium,0.41371330976272513,-0.679974552814451,-0.9795001017737486
bizionia,0.37926215030101074,0.6688915393371883,0.38476851700547776
blastococcus,0.5661593743931851,-0.6032510363617062,0.19682457646880455
blautia,0.3714024012934115,-1.4488814902625071,-2.0056590301170973
bordetella,0.6653780632447698,0.21536242534546965,1.0773357322404522
bosea,0.6232594654785544,-0.7310231473438303,-0.27330202273550214
brachybacterium,0.35653081970836,-0.32910758787388195,0.6608318536906419
brachymonas,0.543945495864402,4.261716735933349,2.227703717694897
bradyrhizobium,0.6027298007574574,-1.034933383112071,-0.9277368599907937
brasilonema,0.39480890927186146,-1.1283483007833908,-1.4762125963781199
brenneria,0.5371526147510546,0.5860307382196113,-0.11084315067873435
brevibacillus,0.6191047140924225,-0.6454686891438908,-0.24190811116071803
brevibacterium,0.22420678470717265,-0.13343369862917726,-0.03226219288741109
brevilactibacter,0.3279224419792257,-0.41570895399589575,-0.7653914835616283
brevundimonas,0.6305293355849904,0.7875341986805473,0.5702405277833998
burkholderia,0.6324823020019841,-0.5797946223969327,-0.6488394982270222
butyricicoccus,0.2058919851635135,-0.9336527075188957,-1.5459464865281352
butyricimonas,0.49947192324575823,-1.0834275997105398,-0.7855665048506029
butyrivibrio,0.34000536766544986,-1.4409446549876395,-1.3646543001197098
bythopirellula,0.4596212608976667,0.6895647076621307,-0.3252987453354536
calothrix,0.5213549231067143,-1.6027246678005398,-1.4912925557373835
campylobacter,0.3717641056128927,1.5403485659134035,2.757335078787453
capnocytophaga,0.43430901847366343,0.31635139448561667,-0.8804179566197318
caproiciproducens,0.43198646422139864,-0.7604991293867123,0.2854139846342104
cardiobacterium,0.4164509164976182,1.550933252132546,1.2252906625506534
carnobacterium,0.4222962597360451,-0.1826042392167198,-0.16565116944260488
castellaniella,0.6408330692354123,0.6049117853005934,0.9242314214753006
caulobacter,0.6282655749286732,-0.28124522836312327,-0.24300367530092365
celeribacter,0.4063818534489417,-0.11815788361657795,0.953697427701168
cellulomonas,0.5360071346667621,-0.7001919160055041,0.4295187876522739
cellulophaga,0.3213892146891655,-0.24883599005464607,-0.2366545121118713
cellulosilyticum,0.42950452684616336,-1.0634288636047922,-0.6417115319545423
cellvibrio,0.4903033319790173,0.32347998822513213,0.5945326570640337
cephaloticoccus,0.5090773714827674,0.49305619264645123,-0.5862636412497415
cetobacterium,0.416515537656038,-0.4020695314127461,-1.1054852768799117
chelatococcus,0.5945601755413129,-0.8674818564772312,-0.6606506706972067
chiayiivirga,0.700580587591816,0.8161190514228914,-0.23485087280053904
chitinimonas,0.426361976077341,-0.6466197000357254,-0.04592791872437564
chitinophaga,0.6571452507212779,-1.1669879149698472,-1.5110441948028062
chlamydia,0.3472908478661928,-0.7790574806144934,2.04413384754868
