genus_clean,n_otus_gw,mean_gw_prevalence_pct,mean_fold_enrichment_gw,genus_lower,genus_clean_lower,is_nitrifier,mean_n_metal_types
Flavimobilis,1,0.06157635467980296,0.25318503980266255,flavimobilis,flavimobilis,0,1.0
Flavipsychrobacter,7,0.8356790992258973,0.8693344831552354,flavipsychrobacter,flavipsychrobacter,0,1.0
Flavisolibacter,39,0.7815460401667298,0.6761338589695587,flavisolibacter,flavisolibacter,0,1.0
Flavobacterium,142,1.5003815999444947,1.3033657156559346,flavobacterium,flavobacterium,0,1.103448275862069
Flectobacillus,4,2.3706896551724137,1.2085924304947504,flectobacillus,flectobacillus,0,1.0
Fluviicola,20,1.911945812807882,1.7319805966503288,fluviicola,fluviicola,0,1.0
Franconibacter,3,0.3899835796387521,1.630458674571764,franconibacter,franconibacter,0,3.5
Frisingicoccus,1,0.06157635467980296,0.540773799715256,frisingicoccus,frisingicoccus,0,1.0
Fulvimarina,1,0.12315270935960591,0.3562136383020707,fulvimarina,fulvimarina,0,1.0
Gabonibacter,1,0.06157635467980296,0.4246279379956701,gabonibacter,gabonibacter,0,2.0
Galbibacter,3,0.6773399014778324,1.1454725216379704,galbibacter,galbibacter,0,1.0
Gallionella,13,3.4672224327396743,13.916783357057426,gallionella,gallionella,0,1.0
Gelidibacter,1,0.18472906403940886,0.5137506627036862,gelidibacter,gelidibacter,0,1.0
Gemmatimonas,14,1.4866291344123856,0.8816989382056702,gemmatimonas,gemmatimonas,0,1.8333333333333333
Geobacillus,4,2.863300492610837,16.85688517835041,geobacillus,geobacillus,0,1.0909090909090908
Geobacter,53,2.2411469467422624,3.164778620315477,geobacter,geobacter,0,1.0
Georgenia,9,0.23262178434592226,0.9417569445029527,georgenia,georgenia,0,1.3333333333333333
Geosporobacter,1,0.12315270935960591,0.4031216049590235,geosporobacter,geosporobacter,0,2.0
Geothrix,12,3.6278735632183903,2.970249978671427,geothrix,geothrix,0,1.0
Giesbergeria,3,0.6773399014778324,0.6091005390524604,giesbergeria,giesbergeria,0,1.2727272727272727
Gilliamella,2,0.8620689655172413,4.421436601908586,gilliamella,gilliamella,0,1.0
Gillisia,3,1.4367816091954024,2.3357337424590954,gillisia,gillisia,0,1.0
Gimesia,5,0.32019704433497537,0.7056786374058003,gimesia,gimesia,0,1.0
Glaciimonas,2,1.6317733990147785,0.8388724639943134,glaciimonas,glaciimonas,0,1.0
Gleimia,2,0.06157635467980296,0.5610210204895346,gleimia,gleimia,0,2.0
Gluconobacter,1,0.8004926108374385,0.8071294223948734,gluconobacter,gluconobacter,0,1.0
Glutamicibacter,1,0.12315270935960591,1.672414268463985,glutamicibacter,glutamicibacter,0,1.0
Glycomyces,8,0.40024630541871925,0.6287372441593722,glycomyces,glycomyces,0,1.0
