genus_lower,biome_H_std,ko_per_mb_total_z,ko_per_mb_tier1_z,ko_per_mb_tier2_z,abr_per_mb_z
cellulosilyticum,0.42950452684616336,-1.0634288636047922,-0.9880552232612545,-1.2660486128048536,-0.2359543019841998
cellvibrio,0.4903033319790173,0.32347998822513213,0.990577643133097,0.7898372248805489,-0.19067733213845542
cephaloticoccus,0.5090773714827674,0.49305619264645123,-0.4437573777839634,-0.5103383360287563,-0.24793627704536053
cetobacterium,0.416515537656038,-0.4020695314127461,0.18739325078558564,-0.9763315439573924,-0.2582805125838608
chelatococcus,0.5945601755413129,-0.8674818564772312,0.07069838736511869,-0.7403328472971339,-0.23004897998184085
chiayiivirga,0.700580587591816,0.8161190514228914,0.05446726206852302,-0.3428780809220822,-0.2536217203932717
chitinimonas,0.426361976077341,-0.6466197000357254,-0.9561829995543469,-0.9321460333460434,-0.23709207335218596
chitinophaga,0.6571452507212779,-1.1669879149698472,-0.42701020771249415,-1.2345244896571215,-0.17192168040842196
chlamydia,0.3472908478661928,-0.7790574806144934,-1.57300070534453,-0.7921993298687564,-0.17676532927339333
chlorobaculum,0.33797756088334896,1.5869461537106953,0.27935299476447956,0.2667709877173551,-0.21971650953765368
chlorobium,0.3482021869600928,1.708469992850221,0.46026424927697523,-0.0443927669817654,0.09663620631216831
chryseobacterium,0.5201108287001959,-0.5310989882628186,0.2832322525723866,-0.5692585345737535,1.121622191262129
chryseolinea,0.630887425045241,-1.0878817323806695,-0.424942792397486,-0.3614485405758483,-0.2484212157873465
chthoniobacter,0.6293858288258812,-0.6019135069840797,-0.5447262173075808,-0.442952908337307,-0.2582805125838608
citrobacter,0.5200790483130584,0.5074202244804423,3.615241711857411,2.0526634235172585,3.210189711425748
cloacibacterium,0.4126028434011933,1.005692416146021,-0.21520134841127797,0.6026080237315641,-0.20991096766853432
clostridium,0.43431895398821324,-1.1678546911231362,-0.7671422091445309,-0.7883601409624439,0.6752939702184863
cocleimonas,0.33105710741439787,1.3377205048277536,0.08389297282098865,-0.214193859986146,-0.2519564775527288
cohnella,0.5841485108063752,-0.9797355821835314,-0.7488620491789223,-0.008098212688483465,-0.18548294206923727
collinsella,0.3393107216425456,-0.7558398840551683,-1.1539779975795839,-1.2665579567589593,0.7083862091660247
colwellia,0.41970236656251503,0.07527302868594749,-0.055771341028869666,-0.8219603164827053,-0.20513990171541388
comamonas,0.43416834357294737,-0.2884891638991239,3.58216694231911,1.0154714392447708,0.3608496878721969
coprococcus,0.18886415768956055,-1.0847781476110092,-0.7509799999047657,-0.8720948945254303,-0.08885603983391419
coraliomargarita,0.26792922755551046,0.23035961555819484,-0.7979786158067189,2.1525665190907937,-0.2582805125838608
corynebacterium,0.2876690192268086,0.339734338181597,-0.39502324963663377,0.38869817970495246,2.786147982665728
coxiella,0.5334218606687023,-0.0012636851215030746,-0.9952938434886031,0.0023236571726021975,-0.23182060042234734
croceitalea,0.5267028253584913,2.031146800518453,0.11253718309154785,0.22739912948457153,-0.2582805125838608
