genus	env_class	source	n_present	n_class	prevalence	mean_relab	mean_present	max_relab	n_compounds	pathways
Roseateles	marine	PlanetMicrobe	13	302	0.04304635761589404	2.930588389276092e-06	2.930588389276092e-06	0.000768067	2	Shikimates and Phenylpropanoids
Roseococcus	periphyton	NMDC	408	472	0.864406779661017	6.100573073843193e-05	7.05752571287742e-05	0.0012751538630413665	1	Shikimates and Phenylpropanoids
Roseococcus	soil	NMDC	910	2260	0.4026548672566372	3.3427296090312035e-05	8.301724083967605e-05	0.0016506718729850196	1	Shikimates and Phenylpropanoids
Roseococcus	freshwater	NMDC	67	723	0.09266943291839558	9.296593139383733e-06	0.00010031995283245431	0.00022391892735209988	1	Shikimates and Phenylpropanoids
Roseococcus	plant	NMDC	19	119	0.15966386554621848	7.363539019273472e-06	4.6119007541765433e-05	0.00018924871128337485	1	Shikimates and Phenylpropanoids
Rugosibacter	periphyton	NMDC	408	472	0.864406779661017	0.00016807002400189556	0.00019443394933552622	0.013289499318796178	2	Shikimates and Phenylpropanoids
Rugosibacter	soil	NMDC	822	2260	0.363716814159292	2.861139750487587e-05	7.866393961194581e-05	0.0021462062980421607	2	Shikimates and Phenylpropanoids
Rugosibacter	freshwater	NMDC	65	723	0.08990318118948824	1.1469554904922974e-05	0.00012757674148091246	0.0009544126512176557	2	Shikimates and Phenylpropanoids
Rugosibacter	plant	NMDC	19	119	0.15966386554621848	3.618369948395545e-06	2.26624223083721e-05	7.743527260757518e-05	2	Shikimates and Phenylpropanoids
Scandinavium	periphyton	NMDC	37	472	0.07838983050847458	5.5374308273564e-07	7.063965812195191e-06	7.862803639434363e-05	1	Alkaloids
Scandinavium	soil	NMDC	215	2260	0.09513274336283185	3.4318365030241314e-07	3.607418835736994e-06	7.366232311831464e-05	1	Alkaloids
Scandinavium	plant	NMDC	8	119	0.06722689075630252	4.982408314832281e-08	7.411332368313018e-07	1.9731834680695153e-06	1	Alkaloids
Scandinavium	freshwater	NMDC	7	723	0.009681881051175657	4.1737555807168705e-08	4.310893264083282e-06	1.2551918989371376e-05	1	Alkaloids
Shinella	periphyton	NMDC	397	472	0.8411016949152542	8.285972757956634e-05	9.8513328507696e-05	0.0009962654584973714	1	Shikimates and Phenylpropanoids
