orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS01600	MMP_RS01600		50S ribosomal protein L15e	2	0.382587021625984	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS02795	MMP_RS02795		sulfate permease	3	0.378470857466792	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS06670	MMP_RS06670		glucose-6-phosphate isomerase	4	0.371994128832432	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS01885	MMP_RS01885		Gfo/Idh/MocA family oxidoreductase	5	0.369244903935922	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS05250	MMP_RS05250		NFYB/HAP3 family transcription factor subunit	6	0.36562426110845	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS05180	MMP_RS05180		Nre family DNA repair protein	7	0.365462630884211	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS02405	MMP_RS02405		hypothetical protein	8	0.362427692092331	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS03385	MMP_RS03385		cation diffusion facilitator family transporter	9	0.359852144905263	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS01725	MMP_RS01725		class I SAM-dependent methyltransferase family protein	10	0.358900180165606	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS05640	MMP_RS05640		UTP--glucose-1-phosphate uridylyltransferase GalU	11	0.356867244395741	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS02715	MMP_RS02715		molybdopterin molybdotransferase MoeA	12	0.354536245051601	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS07180	MMP_RS07180		DEAD/DEAH box helicase	13	0.352329313951859	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS05560	MMP_RS05560		deoxyuridine 5'-triphosphate nucleotidohydrolase	14	0.35221262706333	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS01900	MMP_RS01900		hypothetical protein	15	0.351617751038418	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS01890	MMP_RS01890		nucleotide sugar dehydrogenase	16	0.349178201613875	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS01920	MMP_RS01920		glycosyltransferase family 2 protein	17	0.347005230143775	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS01880	MMP_RS01880		DegT/DnrJ/EryC1/StrS family aminotransferase	18	0.345250966183253	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS07755	MMP_RS07755		DUF555 domain-containing protein	19	0.344627366762809	FALSE
