orgId	locusId	sysName	geneName	desc	set1IT067 CPG	set1IT068 M63_quarter_strength	set1IT071 CPG	set1IT072 M63_quarter_strength	set2IT036 CPG	set2IT037 M63_quarter_strength
RalstoniaUW163	UW163_RS00875	UW163_RS00875		chain-length determining protein	-0.143	-0.156	-0.084	0.018	-0.034	0.170
RalstoniaUW163	UW163_RS00880	UW163_RS00880		glycosyl transferase	-0.858	-0.348	-0.775	-0.006	-0.087	0.007
RalstoniaUW163	UW163_RS00885	UW163_RS00885		glycosyltransferase family 2 protein	-2.237	0.268	-2.240	-0.968	-0.610	-0.340
RalstoniaUW163	UW163_RS00890	UW163_RS00890		EpsG family protein	-1.198	-0.761	-1.191	-0.149	-0.274	-0.223
RalstoniaUW163	UW163_RS00895	UW163_RS00895		glycosyltransferase family 2 protein	-1.354	-1.326	-3.122	-0.498	-0.479	-0.842
RalstoniaUW163	UW163_RS00910	UW163_RS00910		glucose-1-phosphate thymidylyltransferase	-0.787	-0.009	-0.053	0.066	0.092	0.194
RalstoniaUW163	UW163_RS00920	UW163_RS00920		dTDP-glucose 4,6-dehydratase	-0.566	-0.561	-0.805	-1.009	0.977	0.163
RalstoniaUW163	UW163_RS00925	UW163_RS00925		symmetrical bis(5'-nucleosyl)-tetraphosphatase	-1.115	-1.425	-0.671	-0.727	-0.859	-0.084
RalstoniaUW163	UW163_RS00930	UW163_RS00930		1-acyl-sn-glycerol-3-phosphate acyltransferase	-0.003	0.185	0.143	-0.036	0.219	-0.097
RalstoniaUW163	UW163_RS00945	UW163_RS00945		bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	0.287	-0.432	-0.243	-0.163	0.002	-0.235
RalstoniaUW163	UW163_RS00955	UW163_RS00955		DUF179 domain-containing protein	0.080	-0.300	-0.106	-0.501	0.237	-0.716
RalstoniaUW163	UW163_RS00960	UW163_RS00960		16S rRNA pseudouridine(516) synthase	-0.014	0.217	0.132	0.088	0.131	0.213
RalstoniaUW163	UW163_RS00965	UW163_RS00965		deoxyribodipyrimidine photo-lyase	0.040	-0.006	0.197	-0.067	0.064	0.138
RalstoniaUW163	UW163_RS00970	UW163_RS00970		hybrid sensor histidine kinase/response regulator	-0.030	-0.069	-0.336	0.133	0.157	0.080
RalstoniaUW163	UW163_RS00975	UW163_RS00975		chemotaxis protein	-0.198	0.019	-0.330	0.510	-0.273	0.228
RalstoniaUW163	UW163_RS00985	UW163_RS00985		response regulator	-0.563	0.023	-1.466	-0.249	-0.298	0.089
RalstoniaUW163	UW163_RS00990	UW163_RS00990		response regulator	-0.163	0.481	-0.915	0.502	0.448	0.247
RalstoniaUW163	UW163_RS01005	UW163_RS01005		LemA family protein	0.350	0.120	0.282	0.196	0.241	-0.110
RalstoniaUW163	UW163_RS01010	UW163_RS01010		membrane protein	0.482	0.277	0.030	-0.416	0.229	-0.009
RalstoniaUW163	UW163_RS01015	UW163_RS01015		hypothetical protein	0.115	0.304	-0.132	-0.055	-0.232	0.015
RalstoniaUW163	UW163_RS01020	UW163_RS01020		Flp family type IVb pilin	0.202	-0.511	0.050	-0.663	-0.234	-0.123
RalstoniaUW163	UW163_RS01025	UW163_RS01025		Flp family type IVb pilin	0.098	0.030	-0.155	0.265	0.061	-0.486
RalstoniaUW163	UW163_RS01030	UW163_RS01030		precorrin-2 dehydrogenase	-0.092	0.102	-0.059	-0.145	0.180	-0.134
RalstoniaUW163	UW163_RS01035	UW163_RS01035		Flp pilus assembly protein CpaB	0.079	0.176	0.132	0.250	-0.069	-0.138
RalstoniaUW163	UW163_RS01040	UW163_RS01040		secretin	0.086	0.009	-0.223	-0.140	0.128	0.147
RalstoniaUW163	UW163_RS01050	UW163_RS01050		pilus assembly protein	-0.161	-0.191	-0.060	-0.169	-0.122	0.151
RalstoniaUW163	UW163_RS01055	UW163_RS01055		CpaF family protein	-0.432	0.010	0.585	-0.552	0.828	0.555
