orgId	carbon_source	cpd_id	growth_rate	fba_status	predicted_growth	observed_growth	correct
HerbieS	a-Ketoglutaric acid disodium salt hydrate	cpd00024	5.217658	optimal	True	True	True
HerbieS	D-Xylose	cpd00154	5.217658	optimal	True	True	True
HerbieS	L-Proline	cpd00129	5.217658	optimal	True	True	True
HerbieS	D-Trehalose dihydrate	cpd00794	6.882732	optimal	True	False	False
HerbieS	L-Fucose	cpd00751	4.173775	optimal	True	True	True
HerbieS	Trisodium citrate dihydrate	cpd00137	5.425908	optimal	True	False	False
HerbieS	Potassium acetate	cpd00029	4.591153	optimal	True	False	False
HerbieS	L-Rhamnose monohydrate	cpd00396	4.173775	optimal	True	True	True
HerbieS	D-Sorbitol	cpd00588	4.173775	optimal	True	True	True
HerbieS	D-Galactose	cpd00108	4.173775	optimal	True	True	True
HerbieS	D-Cellobiose	cpd00158	6.922797	optimal	True	False	False
HerbieS	D-Mannose	cpd00138	5.751192	optimal	True	True	True
HerbieS	D-Gluconic Acid sodium salt	cpd00222	5.783177	optimal	True	True	True
HerbieS	D-Ribose	cpd00105	5.538185	optimal	True	True	True
HerbieS	D-Raffinose pentahydrate	cpd30716	4.173775	optimal	True	False	False
HerbieS	m-Inositol	cpd00121	4.173775	optimal	True	True	True
HerbieS	L-Glutamic acid monopotassium salt monohydrate	cpd00023	5.217658	optimal	True	False	False
HerbieS	Sodium Fumarate dibasic	cpd00106	5.00853	optimal	True	False	False
HerbieS	Sodium propionate	cpd00141	4.591153	optimal	True	False	False
HerbieS	D-Glucosamine Hydrochloride	cpd00276	5.751192	optimal	True	False	False
HerbieS	a-Cyclodextrin	cpd24451	4.173775	optimal	True	False	False
HerbieS	Ethanol	cpd00363	4.591153	optimal	True	False	False
HerbieS	D-Glucose-6-Phosphate sodium salt	cpd00079	5.751192	optimal	True	True	True
HerbieS	D-Galacturonic Acid monohydrate	cpd00280	4.173775	optimal	True	True	True
HerbieS	L-Alanine	cpd00035	5.00853	optimal	True	False	False
HerbieS	L-Asparagine	cpd00132	5.00853	optimal	True	True	True
HerbieS	Sodium butyrate	cpd00211	4.173775	optimal	True	False	False
HerbieS	L-Leucine	cpd00107	4.452417	optimal	True	False	False
HerbieS	L-Arabinose	cpd00224	4.173775	optimal	True	True	True
Cup4G11	Sodium pyruvate	cpd00020	40.658877	optimal	True	True	True
Cup4G11	Sodium D,L-Lactate	cpd00159	40.658877	optimal	True	True	True
Cup4G11	L-Glutamine	cpd00053	40.793956	optimal	True	True	True
Cup4G11	L-Malic acid disodium salt monohydrate	cpd00130	40.793956	optimal	True	True	True
Cup4G11	Sodium succinate dibasic hexahydrate	cpd00036	40.793956	optimal	True	True	True
Cup4G11	Sodium L-Lactate	cpd00159	40.658877	optimal	True	True	True
Cup4G11	D-Fructose	cpd00082	41.064115	optimal	True	True	True
Cup4G11	D-Glucose	cpd00027	40.929035	optimal	True	False	False
Cup4G11	Sodium D-Lactate	cpd00221	40.658877	optimal	True	True	True
Cup4G11	N-Acetyl-D-Glucosamine	cpd00122	40.523797	optimal	True	False	False
Cup4G11	D-Maltose monohydrate	cpd00179	40.523797	optimal	True	False	False
Cup4G11	Glycerol	cpd00100	40.658877	optimal	True	False	False
Cup4G11	a-Ketoglutaric acid disodium salt hydrate	cpd00024	40.929035	optimal	True	True	True
Cup4G11	D-Xylose	cpd00154	40.523797	optimal	True	False	False
Cup4G11	L-Proline	cpd00129	40.929035	optimal	True	True	True
Cup4G11	D-Trehalose dihydrate	cpd00794	41.239104	optimal	True	False	False
Cup4G11	L-Fucose	cpd00751	40.523797	optimal	True	False	False
Cup4G11	Trisodium citrate dihydrate	cpd00137	40.929035	optimal	True	True	True
Cup4G11	Potassium acetate	cpd00029	40.523797	optimal	True	False	False
Cup4G11	L-Rhamnose monohydrate	cpd00396	40.523797	optimal	True	False	False
Cup4G11	D-Sorbitol	cpd00588	40.523797	optimal	True	False	False
Cup4G11	D-Galactose	cpd00108	40.523797	optimal	True	False	False
Cup4G11	D-Cellobiose	cpd00158	41.265946	optimal	True	False	False
Cup4G11	D-Mannose	cpd00138	40.929035	optimal	True	False	False
Cup4G11	D-Gluconic Acid sodium salt	cpd00222	40.929035	optimal	True	True	True
Cup4G11	D-Ribose	cpd00105	40.523797	optimal	True	False	False
Cup4G11	D-Raffinose pentahydrate	cpd30716	40.523797	optimal	True	False	False
Cup4G11	m-Inositol	cpd00121	40.523797	optimal	True	False	False
Cup4G11	L-Glutamic acid monopotassium salt monohydrate	cpd00023	40.929035	optimal	True	False	False
Cup4G11	Sodium Fumarate dibasic	cpd00106	40.793956	optimal	True	False	False
Cup4G11	Sodium propionate	cpd00141	40.523797	optimal	True	True	True
Cup4G11	D-Glucosamine Hydrochloride	cpd00276	40.929035	optimal	True	False	False
Cup4G11	a-Cyclodextrin	cpd24451	40.523797	optimal	True	False	False
Cup4G11	Ethanol	cpd00363	40.658877	optimal	True	True	True
Cup4G11	D-Glucose-6-Phosphate sodium salt	cpd00079	41.064115	optimal	True	False	False
Cup4G11	D-Galacturonic Acid monohydrate	cpd00280	40.523797	optimal	True	False	False
Cup4G11	L-Alanine	cpd00035	40.658877	optimal	True	True	True
Cup4G11	L-Asparagine	cpd00132	40.904764	optimal	True	True	True
Cup4G11	Sodium butyrate	cpd00211	40.537488	optimal	True	True	True
Cup4G11	L-Leucine	cpd00107	40.793956	optimal	True	True	True
Cup4G11	L-Arabinose	cpd00224	40.523797	optimal	True	False	False
Dino	Sodium pyruvate	cpd00020	2.226162	optimal	True	True	True
Dino	Sodium D,L-Lactate	cpd00159	2.226162	optimal	True	True	True
Dino	L-Glutamine	cpd00053	1.687587	optimal	True	True	True
Dino	L-Malic acid disodium salt monohydrate	cpd00130	2.226162	optimal	True	True	True
Dino	Sodium succinate dibasic hexahydrate	cpd00036	2.226162	optimal	True	True	True
Dino	Sodium L-Lactate	cpd00159	2.226162	optimal	True	True	True
Dino	D-Fructose	cpd00082	3.060973	optimal	True	False	False
Dino	D-Glucose	cpd00027	3.060973	optimal	True	True	True
Dino	Sodium D-Lactate	cpd00221	2.226162	optimal	True	True	True
Dino	N-Acetyl-D-Glucosamine	cpd00122	1.391351	optimal	True	False	False
Dino	D-Maltose monohydrate	cpd00179	4.730594	optimal	True	True	True
Dino	Glycerol	cpd00100	2.226162	optimal	True	True	True
Dino	a-Ketoglutaric acid disodium salt hydrate	cpd00024	1.687587	optimal	True	True	True
Dino	D-Xylose	cpd00154	2.782702	optimal	True	False	False
Dino	L-Proline	cpd00129	1.687587	optimal	True	False	False
Dino	D-Trehalose dihydrate	cpd00794	1.439422	optimal	True	True	True
