orgId	carbon_source	cpd_id	observed_growth	status	growth_after_gf	n_gapfilled_rxns	gapfilled_rxns
Keio	D-Trehalose dihydrate	cpd00794	True	already_grows	20.3595	0	
Keio	L-Fucose	cpd00751	True	already_grows	19.144	0	
Keio	Trisodium citrate dihydrate	cpd00137	False	already_grows	19.0832	0	
Keio	Potassium acetate	cpd00029	True	already_grows	18.597	0	
Keio	L-Rhamnose monohydrate	cpd00396	False	already_grows	19.144	0	
Keio	D-Sorbitol	cpd00588	True	already_grows	19.2655	0	
Keio	D-Galactose	cpd00108	True	already_grows	19.2655	0	
Keio	D-Cellobiose	cpd00158	False	already_grows	20.3595	0	
Keio	D-Mannose	cpd00138	True	already_grows	19.2655	0	
Keio	D-Gluconic Acid sodium salt	cpd00222	True	already_grows	19.144	0	
Keio	D-Ribose	cpd00105	True	already_grows	19.0224	0	
Keio	D-Raffinose pentahydrate	cpd30716	False	already_grows	18.2324	0	
Keio	m-Inositol	cpd00121	False	already_grows	18.2324	0	
Keio	L-Glutamic acid monopotassium salt monohydrate	cpd00023	False	already_grows	19.0832	0	
Keio	Sodium Fumarate dibasic	cpd00106	False	already_grows	18.7186	0	
Keio	Sodium propionate	cpd00141	False	already_grows	18.597	0	
Keio	D-Glucosamine Hydrochloride	cpd00276	True	already_grows	19.2655	0	
Keio	a-Cyclodextrin	cpd24451	False	already_grows	18.2324	0	
Keio	Ethanol	cpd00363	False	already_grows	18.597	0	
Keio	D-Glucose-6-Phosphate sodium salt	cpd00079	True	already_grows	19.3263	0	
Keio	D-Galacturonic Acid monohydrate	cpd00280	True	already_grows	19.144	0	
Keio	L-Alanine	cpd00035	False	already_grows	18.6578	0	
Keio	L-Asparagine	cpd00132	False	already_grows	18.7414	0	
Keio	Sodium butyrate	cpd00211	False	already_grows	18.2324	0	
Keio	L-Leucine	cpd00107	False	already_grows	19.1484	0	
Keio	L-Arabinose	cpd00224	False	already_grows	19.0832	0	
HerbieS	Sodium pyruvate	cpd00020	True	gapfilled	0.6749	8	EX_cpd15378_e0;rxn03436_c0;rxn10030_c0;rxn12376_c0;rxn09310_c0;rxn02185_c0;rxn15949_c0;rxn15947_c0
HerbieS	Sodium D,L-Lactate	cpd00159	True	already_grows	0.6749	0	
HerbieS	L-Glutamine	cpd00053	True	gapfilled	0.7212	1	rxn00194_c0
HerbieS	L-Malic acid disodium salt monohydrate	cpd00130	True	already_grows	0.6749	0	
HerbieS	Sodium succinate dibasic hexahydrate	cpd00036	True	already_grows	0.6749	0	
HerbieS	Sodium L-Lactate	cpd00159	True	already_grows	0.6749	0	
HerbieS	D-Fructose	cpd00082	False	already_grows	1.3497	0	
HerbieS	D-Glucose	cpd00027	True	gapfilled	1.491	2	rxn15060_c0;rxn15270_c0
HerbieS	Sodium D-Lactate	cpd00221	True	already_grows	0.7737	0	
HerbieS	N-Acetyl-D-Glucosamine	cpd00122	False	already_grows	1.9171	0	
HerbieS	D-Maltose monohydrate	cpd00179	False	already_grows	2.9821	0	
HerbieS	Glycerol	cpd00100	True	already_grows	0.7737	0	
HerbieS	a-Ketoglutaric acid disodium salt hydrate	cpd00024	True	already_grows	0.8138	0	
HerbieS	D-Xylose	cpd00154	True	gapfilled	0.8138	2	rxn01751_c0;rxn16048_c0
HerbieS	L-Proline	cpd00129	True	already_grows	0.8138	0	
HerbieS	D-Trehalose dihydrate	cpd00794	False	already_grows	2.9821	0	
HerbieS	L-Fucose	cpd00751	True	gapfilled	4.1738	5	rxn04794_c0;rxn00541_c0;rxn25279_c0;rxn25278_c0;rxn17392_c0
HerbieS	Trisodium citrate dihydrate	cpd00137	False	already_grows	5.4259	0	
HerbieS	Potassium acetate	cpd00029	False	already_grows	4.5912	0	
HerbieS	L-Rhamnose monohydrate	cpd00396	True	already_grows	4.1738	0	
HerbieS	D-Sorbitol	cpd00588	True	already_grows	4.1738	0	
HerbieS	D-Galactose	cpd00108	True	already_grows	4.1738	0	
HerbieS	D-Cellobiose	cpd00158	False	already_grows	6.9228	0	
HerbieS	D-Mannose	cpd00138	True	already_grows	5.7512	0	
HerbieS	D-Gluconic Acid sodium salt	cpd00222	True	already_grows	5.7832	0	
