orgId	locusId	sysName	geneName	desc	set1IT091 1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	set2IT075 1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT079 1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT083 1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT091 MOKA	set2IT092 Xantho_MME_glucose_casamino	set2IT093 Xantho_MME_glucose_dropout_LTH	set2IT094 Clovis xylem sap	set3IT072 MOKA	set3IT073 Xantho_MME_glucose_casamino	set3IT074 Xantho_MME_glucose_dropout_LTH	set3IT075 Clovis xylem sap	set3IT081 Xantho_MME_glucose_casamino	set3IT082 Xantho_MME_glucose_dropout_LTH	set3IT083 Clovis xylem sap	set3IT088 MOKA	set3IT089 Xantho_MME_glucose_casamino	set3IT090 Xantho_MME_glucose_dropout_LTH	set3IT091 Clovis xylem sap
Xantho	Xcc-8004.5013.1	Xcc-8004.5013.1		FOG: Ankyrin repeat	-0.223	0.090	-0.239	2.578	0.935	0.713	-0.724	0.830	-0.245	0.492	1.537	0.940	1.568	0.078	0.699	-0.355	-0.350	-0.309	0.343
Xantho	Xcc-8004.5014.1	Xcc-8004.5014.1		Catalase (EC 1.11.1.6)	1.212	-0.673	0.490	1.847	-0.084	1.590	0.636	0.308	-2.295	-0.278	-0.746	0.740	-3.327	-0.825	0.733	-0.568	-0.082	-1.216	-0.624
Xantho	Xcc-8004.5015.1	Xcc-8004.5015.1		hypothetical protein	0.764	0.885	0.278	1.987	0.204	1.446	0.404	0.400	-1.064	-0.320	-0.369	0.124	-0.894	0.767	-0.539	0.598	-0.045	0.495	0.537
Xantho	Xcc-8004.5017.1	Xcc-8004.5017.1		ATP-dependent helicase DinG/Rad3	1.582	1.332	0.357	-0.360	-0.251	1.553	0.177	0.529	-0.615	-0.345	0.632	1.263	-0.759	-0.215	0.473	0.120	-1.201	0.290	0.470
Xantho	Xcc-8004.5018.1	Xcc-8004.5018.1		FIG01210512: hypothetical protein	0.332	-1.017	1.614	0.798	1.908	1.488	0.889	0.863	-0.572	-1.216	0.904	0.251	0.959	1.838	1.534	0.840	0.641	0.299	0.336
Xantho	Xcc-8004.5019.1	Xcc-8004.5019.1		FIG01210147: hypothetical protein	0.340	-2.179	2.069	-1.224	0.200	0.441	0.212	0.797	0.259	0.460	1.949	0.884	0.310	0.050	-1.948	-1.418	-0.380	0.876	1.902
Xantho	Xcc-8004.502.1	Xcc-8004.502.1		Biotin synthesis protein BioH	-0.592	-3.123	-2.457	-2.319	-1.192	-0.932	-1.194	0.848	2.161	-1.332	-1.649	0.010	-1.032	-0.210	-2.593	-1.027	-2.307	-1.383	0.408
Xantho	Xcc-8004.5020.1	Xcc-8004.5020.1		Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	-3.749	-4.746	-4.621	-4.616	-2.431	-0.757	-4.989	-4.315	-0.429	-1.610	-6.286	-3.075	-2.563	-6.442	-3.770	-0.133	-0.306	-6.686	-2.677
Xantho	Xcc-8004.5021.1	Xcc-8004.5021.1		FIG01211474: hypothetical protein	2.940	-1.251	0.451	0.384	-0.831	-0.356	-0.029	-0.190	-0.752	0.226	0.474	0.125	1.989	1.147	0.070	-0.401	0.644	1.523	-0.015
Xantho	Xcc-8004.5022.1	Xcc-8004.5022.1		Uncharacterized iron-regulated membrane protein; Iron-uptake factor PiuB	0.695	1.710	1.616	1.748	0.022	1.860	2.117	-0.694	-1.333	0.092	-1.649	-0.501	-0.245	-0.800	-0.375	0.208	0.521	-1.323	0.819
Xantho	Xcc-8004.5024.1	Xcc-8004.5024.1		FIG01210241: hypothetical protein	-0.663	0.006	0.750	0.759	-0.457	1.755	0.621	-0.686	-0.908	0.429	0.401	1.940	1.007	-0.308	-1.457	0.441	-0.401	-0.276	1.318
Xantho	Xcc-8004.5025.1	Xcc-8004.5025.1		FIG01211797: hypothetical protein	3.220	1.862	0.411	1.285	0.289	0.699	1.675	-0.656	-1.319	-1.801	0.141	-0.528	0.492	-0.690	-1.610	0.146	-0.170	-0.313	-0.297
Xantho	Xcc-8004.5026.1	Xcc-8004.5026.1		putative; ORF located using Glimmer/Genemark	2.452	-0.997	-0.211	0.967	0.369	1.053	1.095	2.217	-2.309	-0.121	-1.009	-0.126	1.396	0.776	1.216	-0.718	0.049	-0.509	-0.753
