orgId	locusId	sysName	geneName	desc	set1IT023 D-Glucose 20 mM (C)	set1IT024 D-Glucose 20 mM (C)	set1IT031 (+)-Arabinogalactan 5 mg/ml (C)	set1IT032 (+)-Arabinogalactan 5 mg/ml (C)	set1IT035 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT036 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT037 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT038 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT041 D-Maltose 20 mM (C)	set1IT042 D-Maltose 20 mM (C)	set1IT043 D-Raffinose 20 mM (C)	set1IT044 D-Raffinose 20 mM (C)	set1IT049 D-Glucose 20 mM (C)	set1IT050 D-Glucose 20 mM (C)	set1IT067 L-Fucose 20 mM (C)	set1IT068 L-Fucose 20 mM (C)	set1IT071 D-Glucosamine Hydrochloride 20 mM (C)	set1IT072 D-Glucosamine Hydrochloride 20 mM (C)	set1IT077 D-Maltose 20 mM (C)	set1IT078 D-Maltose 20 mM (C)	set1IT085 D-Raffinose 20 mM (C)	set1IT086 D-Raffinose 20 mM (C)
Bvulgatus_CL09T03C04	HMPREF1058_RS01705	HMPREF1058_RS01705		Na+/H+ antiporter NhaC family protein	-1.939	-2.040	-0.830	-0.726	-1.164	-1.799	-2.115	-2.120	-1.876	-1.893	-2.030	-2.336	-1.864	-1.910	-1.986	-1.426	-0.375	0.034	-1.142	-1.430	-1.522	-2.301
Bvulgatus_CL09T03C04	HMPREF1058_RS01710	HMPREF1058_RS01710		DUF4373 domain-containing protein	0.843	-0.623	1.395	2.150	0.180	0.374	-0.056	0.341	-1.361	0.101	1.075	-0.202	0.505	-0.860	2.452	2.265	3.599	1.347	-0.148	1.127	0.027	1.880
Bvulgatus_CL09T03C04	HMPREF1058_RS01715	HMPREF1058_RS01715		LysO family transporter	2.041	0.846	1.644	0.741	1.833	1.434	2.319	2.468	1.663	1.693	2.705	1.765	0.207	1.745	0.595	1.542	2.018	1.529	1.108	1.004	1.865	0.941
Bvulgatus_CL09T03C04	HMPREF1058_RS01720	HMPREF1058_RS01720		lysine exporter LysO family protein	0.770	2.532	0.211	0.797	2.511	1.685	4.138	1.426	1.545	3.388	3.391	2.689	0.159	1.192	2.521	1.307	1.168	-0.875	1.955	1.478	1.836	2.044
Bvulgatus_CL09T03C04	HMPREF1058_RS01725	HMPREF1058_RS01725		peptide MFS transporter	3.764	3.238	-0.106	0.205	-4.620	-4.251	-0.555	-1.595	2.209	2.797	-2.493	-2.317	5.573	1.849	-5.359	-5.423	-2.930	-2.557	3.749	-0.505	0.601	-0.818
Bvulgatus_CL09T03C04	HMPREF1058_RS01730	HMPREF1058_RS01730		Cys-tRNA(Pro) deacylase	1.120	2.442	1.121	1.083	-0.569	2.354	1.940	1.655	0.329	1.386	1.807	1.565	1.882	1.937	-0.159	0.671	1.023	0.329	1.020	0.895	1.013	1.143
Bvulgatus_CL09T03C04	HMPREF1058_RS01735	HMPREF1058_RS01735		excinuclease ABC subunit UvrA	2.780	0.178	1.558	0.938	1.379	2.488	1.585	-1.307	5.031	5.686	1.502	0.479	1.322	-0.276	-1.656	-0.717	-1.704	-1.042	5.049	1.832	1.019	0.100
Bvulgatus_CL09T03C04	HMPREF1058_RS01745	HMPREF1058_RS01745		PorT family protein	-6.679	-7.272	-4.684	-4.937	-3.074	-4.956	-7.691	-6.863	-7.358	-5.858	-5.469	-5.570	-7.230	-3.775	-5.891	-7.887	0.617	-2.548	-5.803	-7.610	-5.716	-4.792
Bvulgatus_CL09T03C04	HMPREF1058_RS01765	HMPREF1058_RS01765		excinuclease ABC subunit UvrB	2.804	-0.166	1.026	0.365	1.393	3.396	1.326	0.844	1.575	2.597	1.015	0.544	1.792	0.562	-0.889	1.135	-2.124	0.752	1.603	1.709	1.099	1.525
Bvulgatus_CL09T03C04	HMPREF1058_RS01770	HMPREF1058_RS01770		porin	-0.173	-1.327	0.621	-0.887	-0.275	0.256	-0.399	-1.545	0.355	1.166	-0.033	0.959	0.913	0.737	1.640	0.247	-0.700	0.746	0.928	1.942	-0.128	1.393
