genus,n_habitats,count_breadth_raw,count_breadth_std,weighted_breadth,shannon_breadth_std,cooccurrence_mean,cooccurrence_max,genus_lower_clean,mean_levins_B_std,gtdb_genus_lower,kingdom,count_breadth_ses,shannon_breadth_ses
ochrobactrum,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,ochrobactrum,0.4490823481707068,ochrobactrum,Bacteria,,
octadecabacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,octadecabacter,0.0570574282041434,octadecabacter,Bacteria,,
odoribacter,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,odoribacter,0.1330317933438722,odoribacter,Bacteria,,
oleispira,2,785,0.9054209919261822,0.4647558386411889,0.9777451966543141,1.433679354094579,2,oleispira,0.087139204508043,oleispira,Bacteria,,
oligella,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,oligella,0.1353724343558924,oligella,Bacteria,,
olivibacter,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,olivibacter,0.3445847795298319,olivibacter,Bacteria,,
opitutus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,opitutus,0.4208105596711765,opitutus,Bacteria,0.0,1.0
oribacterium,3,860,0.9919261822376009,0.6227713178294574,0.9882456584935019,2.2549019607843137,3,oribacterium,0.2543122903275828,oribacterium,Bacteria,1.55197369986617,1.5841842101773846
ornithobacterium,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,ornithobacterium,0.3554816019797671,ornithobacterium,Bacteria,,
oryzihumus,2,749,0.8638985005767013,0.4857587894971073,0.9718890883941397,1.4382929642445212,2,oryzihumus,0.5276745583317414,oryzihumus,Bacteria,,
oscillatoria,2,785,0.9054209919261822,0.4647558386411889,0.9777451966543141,1.433679354094579,2,oscillatoria,0.3695845921821766,oscillatoria,Bacteria,0.6866700773438275,0.5842622732477804
oscillochloris,3,860,0.9919261822376009,0.6227713178294574,0.9882456584935019,2.2549019607843137,3,oscillochloris,0.254509917191374,oscillochloris,Bacteria,,
owenweeksia,3,860,0.9919261822376009,0.6227713178294574,0.9882456584935019,2.2549019607843137,3,owenweeksia,0.3316010767743216,owenweeksia,Bacteria,,
oxobacter,2,749,0.8638985005767013,0.4857587894971073,0.9718890883941397,1.4382929642445212,2,oxobacter,0.0540618451960327,oxobacter,Bacteria,,
paenibacillus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,paenibacillus,0.3837071658371461,paenibacillus,Bacteria,,
paludibacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,paludibacter,0.1856745128022809,paludibacter,Bacteria,,
pandoraea,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,pandoraea,0.5571930021000934,pandoraea,Bacteria,,
papillibacter,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,papillibacter,0.1740504208034692,papillibacter,Bacteria,,
parabacteroides,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,parabacteroides,0.2040863271850836,parabacteroides,Bacteria,,
parachlamydia,3,827,0.9538638985005767,0.5894800483675937,0.9813914120752875,2.121107266435986,3,parachlamydia,0.3518876494243865,parachlamydia,Bacteria,-0.02079663763556344,-0.18394802647849567
paracoccus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,paracoccus,0.2549444193895421,paracoccus,Bacteria,,
parapedobacter,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,parapedobacter,0.276063403601492,parapedobacter,Bacteria,,
paraprevotella,3,860,0.9919261822376009,0.6227713178294574,0.9882456584935019,2.2549019607843137,3,paraprevotella,0.2209531382196257,paraprevotella,Bacteria,,
parvibaculum,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,parvibaculum,0.526575046022981,parvibaculum,Bacteria,,
parvimonas,3,860,0.9919261822376009,0.6227713178294574,0.9882456584935019,2.2549019607843137,3,parvimonas,0.1754955869939074,parvimonas,Bacteria,,
patulibacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,patulibacter,0.5350695622655967,patulibacter,Bacteria,,
pediococcus,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,pediococcus,0.2036888336875234,pediococcus,Bacteria,,
pedobacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,pedobacter,0.3708238358177625,pedobacter,Bacteria,,
pedomicrobium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,pedomicrobium,0.576932674703547,,Bacteria,,
pelagicoccus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,pelagicoccus,0.0627297465011315,pelagicoccus,Bacteria,,
pelobacter,3,827,0.9538638985005767,0.5894800483675937,0.9813914120752875,2.121107266435986,3,pelobacter,0.1516216502874214,,Bacteria,,
pelosinus,3,827,0.9538638985005767,0.5894800483675937,0.9813914120752875,2.121107266435986,3,pelosinus,0.6549004721939029,pelosinus,Bacteria,,
pelotomaculum,3,827,0.9538638985005767,0.5894800483675937,0.9813914120752875,2.121107266435986,3,pelotomaculum,0.2181378616896035,pelotomaculum,Bacteria,,
peptococcus,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,peptococcus,0.2065168035030704,peptococcus,Bacteria,,
peptoniphilus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,peptoniphilus,0.188500981208716,peptoniphilus,Bacteria,,
peptostreptococcus,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,peptostreptococcus,0.1590303483789741,peptostreptococcus,Bacteria,,
peredibacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,peredibacter,0.5419046638478379,,Bacteria,,
