response,ko,gene,predictor,n,lambda,beta,SE,t,p,ko_metals,resp_metal,metal_match,fdr_q
Ni_ICP_MS_mg_kg_0_5_sd,K15726,czcA,ko_freq_K15726_z,1481,0.264473158145305,0.0851913028181617,0.0899744601435322,0.946838721591214,0.343875738834343,"Co,Ni,Zn,Cd",Ni,True,0.6189763299018174
Ni_ICP_MS_mg_kg_0_5_sd,K17686,copA,ko_freq_K17686_z,1481,0.279521955573367,-0.0879475283849773,0.0797615036625847,-1.10263127381628,0.270366830319264,Cu,Ni,False,0.6189763299018174
Ni_ICP_MS_mg_kg_0_5_sd,K19594,gesB,ko_freq_K19594_z,1481,0.276599152471047,-0.0528024512332364,0.0719808772684064,-0.733562207589436,0.463331939753261,"Cu,Au",Ni,False,0.6762144791669169
Ni_ICP_MS_mg_kg_0_5_sd,K19595,gesA,ko_freq_K19595_z,1481,0.276165565620266,-0.0491788194300084,0.0775251919766562,-0.634359208614623,0.525944594907602,"Cu,Au",Ni,False,0.6762144791669169
Ni_MMI_ME_mg_kg_0_005_sd,K03325,ACR3,ko_freq_K03325_z,1481,0.38300589634636,-0.0142085156229738,0.008643724786848,-1.64379546704136,0.100431136557191,"As,Tl",Ni,False,0.45194011450735955
Ni_MMI_ME_mg_kg_0_005_sd,K03446,emrB,ko_freq_K03446_z,1481,0.366008866716201,-0.0258664368416082,0.0083547590064751,-3.09601232322334,0.0019982806941863,"Cu,Tl",Ni,False,0.0179845262476767
Ni_MMI_ME_mg_kg_0_005_sd,K07665,cusR,ko_freq_K07665_z,1481,0.378954316316691,0.0084929509396004,0.0075077295064943,1.13122761445439,0.258142817310125,"Cu,Ni",Ni,True,0.46952378270812356
Ni_MMI_ME_mg_kg_0_005_sd,K07785,nrsD,ko_freq_K07785_z,1481,0.384427438784534,-0.0029445711250083,0.0063745423297518,-0.461926672173017,0.644201888465142,Ni,Ni,True,0.828259570883754
Ni_MMI_ME_mg_kg_0_005_sd,K07787,cusA,ko_freq_K07787_z,1481,0.370647208324885,0.0106873850354007,0.0102583168800184,1.04182636980323,0.297662567855428,"Cu,Ag",Ni,False,0.46952378270812356
Ni_MMI_ME_mg_kg_0_005_sd,K15726,czcA,ko_freq_K15726_z,1481,0.377882704308702,0.0097704006448127,0.0096807708699971,1.00925853695116,0.313015855138749,"Co,Ni,Zn,Cd",Ni,True,0.46952378270812356
Ni_MMI_ME_mg_kg_0_005_sd,K17686,copA,ko_freq_K17686_z,1481,0.389499260851183,-0.0108932386802257,0.0084064532830755,-1.29581861855543,0.195240305790979,Cu,Ni,False,0.46952378270812356
Ni_MMI_ME_mg_kg_0_005_sd,K19594,gesB,ko_freq_K19594_z,1481,0.383623514392214,-0.0024155738682424,0.0074786556265669,-0.322995734642658,0.746744160732522,"Cu,Au",Ni,False,0.8400871808240873
Ni_MMI_ME_mg_kg_0_005_sd,K19595,gesA,ko_freq_K19595_z,1481,0.383655562860133,-0.0010413395005852,0.0080575830361798,-0.129237203750742,0.89718754291973,"Cu,Au",Ni,False,0.89718754291973
PF1_As_sd,K03325,ACR3,ko_freq_K03325_z,1521,0.473605507318202,0.0003803559907692,0.0002054198246564,1.85160313229429,0.0642769129909106,"As,Tl",As,True,0.19283073897273179
PF1_As_sd,K03446,emrB,ko_freq_K03446_z,1521,0.421615154666016,-0.0008350149923378,0.0001974963040891,-4.22800313245842,2.49843390766695e-05,"Cu,Tl",As,False,0.00022485905169002552
