genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,median_soil_moisture,median_cmmi_nearest_km,ko_per_mb_primary,mean_genome_mb,ko_per_mb_z,genome_mb_z,mean_levins_B_std
sulfuricurvum,Proteobacteria,Bacteria,8285,71.0,66.0,353.89898681640625,44.43,13.397101053402892,2.015361375,1.1740805873661482,-1.090056250595709,0.1784902421134058
thalassobaculum,Proteobacteria,Bacteria,5916,57.0,55.0,457.7330017089844,39.33,6.317049256521588,5.223958,-0.6450572941721546,0.8598801267477169,0.2259388017794622
thermobrachium,Firmicutes,Bacteria,14,150.0,66.0,222.04299926757807,,8.379976883235198,2.5059735,-0.11501176621716339,-0.7919002211810547,0.0943547020262814
caenispirillum,Proteobacteria,Bacteria,1185,69.0,70.0,353.89898681640625,57.35,8.924340335073282,3.9218585,0.024856162008985418,0.06856495730952486,0.5110400565909022
mesobacillus,Firmicutes,Bacteria,13744,76.0,60.0,416.53900146484375,17.65,5.93001540771744,4.5531079000000005,-0.7445011903463787,0.4521894237337556,0.3172658735740261
rhizomicrobium,Proteobacteria,Bacteria,45392,91.0,63.0,283.8729858398437,17.65,12.431111067879035,3.459063294117647,0.9258805704358845,-0.21268610434741994,0.3909541094036116
cycloclasticus,Proteobacteria,Bacteria,4982,63.0,63.0,283.8729858398437,53.82,15.134403557918358,2.1804625384615384,1.6204604851866098,-0.9897205580169085,0.0398280044609892
neptunomonas,Proteobacteria,Bacteria,5014,69.0,66.0,277.7900085449219,20.39,12.068903225267391,3.977163384615385,0.8328154310289457,0.10217498030713987,0.0647475382747681
porticoccus,Proteobacteria,Bacteria,18339,63.0,64.0,353.89898681640625,17.65,17.122153532745525,1.8689237857142855,2.131189980107497,-1.179049669130733,0.1307887854962714
ralstonia,Proteobacteria,Bacteria,4579,81.0,65.0,353.89898681640625,17.65,7.858392782036095,5.4718568023598815,-0.24902680228192048,1.0105338078165866,0.4481516939537776
