genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,median_soil_moisture,env_gradient_breadth,ko_per_mb_primary,mean_genome_mb,ko_per_mb_z,genome_mb_z,mean_levins_B_std
malikia,Proteobacteria,Bacteria,1480,66.0,57.0,457.7330017089844,1.0837269635219586,8.832081861969108,3.849602,0.000618051919712714,0.012842741904435429,0.1336831675298473
mycoavidus,Proteobacteria,Bacteria,3650,80.0,63.0,260.2439880371094,0.22650404767591623,4.3681283880295805,2.518241,-1.140309185619847,-0.7938352825797556,0.6396681272267872
owenweeksia,Bacteroidetes,Bacteria,2471,163.0,83.0,80.5999984741211,2.5686160298453236,6.430833635073407,3.887520875,-0.6131091121631789,0.035817970392924205,0.3316010767743216
pseudogemmobacter,Proteobacteria,Bacteria,395,80.0,57.0,558.260986328125,1.186019814190413,6.648988416857724,4.963161,-0.5573516465017889,0.6875534884762455,0.278781991890965
sphingomicrobium,Proteobacteria,Bacteria,331,57.0,62.0,120.12100219726562,0.9890900692779289,8.79249683490097,2.5021334,-0.009499355406426433,-0.8035949547852518,0.3243699034869594
aminiphilus,Synergistetes,Bacteria,44,78.0,64.0,203.69900512695312,0.36841411878596525,6.307323717397837,3.170917,-0.6446766072110082,-0.39837575934883324,0.1094130022217869
barnesiella,Bacteroidetes,Bacteria,536,71.0,65.0,353.89898681640625,0.40611289604461764,6.2257360915259845,3.051847961538461,-0.6655293210994516,-0.470520261646397,0.1448648689380496
brachybacterium,Actinobacteria,Bacteria,1381,79.0,59.0,277.4840087890625,0.383703604330731,11.156020798556622,3.5855078367346938,0.5945859878783868,-0.14717318007364763,0.239784231640659
chitinimonas,Proteobacteria,Bacteria,6829,78.0,62.0,283.8729858398437,0.2335012613566505,5.104428959875615,4.8977075,-0.9521205357292559,0.6478948984502674,0.3554628821976143
desulfatitalea,Proteobacteria,Bacteria,2249,61.0,69.0,347.3320007324219,0.7151635189689701,7.588387642158956,4.6123105,-0.3172536774421192,0.47497148537619177,0.1105904928392305
desulfurispirillum,Chrysiogenetes,Bacteria,171,139.0,67.0,176.44400024414062,1.1946335618900636,10.541761528351389,2.940685,0.43758947427677203,-0.5378744339630395,0.5282167383153002
euzebyella,Bacteroidetes,Bacteria,787,57.0,65.0,314.0660095214844,0.4792278520035,5.326499918165592,4.318032545454546,-0.8953621473502783,0.2966670592874182,0.0851622457612906
