genus,genus_for_tree,count_breadth_std,shannon_breadth_std,count_breadth_ses,shannon_breadth_ses,mean_levins_B_std
elizabethkingia,elizabethkingia,0.9261822376009228,0.9793386826591984,,,0.5557888232446487
emticicia,emticicia,1.0,0.9861742293388294,0.0,1.0,0.2279346218022907
enterococcus,enterococcus,0.9077277970011534,0.980275105936958,,,0.1974481463991197
enterovibrio,enterovibrio,0.81199538638985,0.9618559291207516,,,0.0705242777632624
erysipelothrix,erysipelothrix,0.9261822376009228,0.9793386826591984,,,0.1430459773705398
erythrobacter,erythrobacter,1.0,0.9861742293388294,0.0,1.0,0.4127499753033588
ethanoligenens,ethanoligenens,0.9077277970011534,0.980275105936958,,,0.272793268175793
facklamia,facklamia,0.9919261822376008,0.988245658493502,,,0.0922561326319369
faecalibacterium,faecalibacterium,1.0,0.9861742293388294,,,0.1314615833553869
ferrimonas,ferrimonas,0.81199538638985,0.9618559291207516,,,0.0876479553000594
ferruginibacter,ferruginibacter,0.9538638985005768,0.9813914120752876,,,0.3924858164496324
fervidobacterium,fervidobacterium,0.9077277970011534,0.980275105936958,,,0.1151007116499567
fibrobacter,fibrobacter,0.9077277970011534,0.980275105936958,,,0.1184295603764403
filifactor,filifactor,0.9077277970011534,0.980275105936958,0.7686944394491,0.9357864929341616,0.1144553872612212
fimbriimonas,fimbriimonas,1.0,0.9861742293388294,,,0.4410007835078773
finegoldia,finegoldia,1.0,0.9861742293388294,,,0.183557296043944
flavihumibacter,flavihumibacter,1.0,0.9861742293388294,,,0.4021921590028121
flavisolibacter,flavisolibacter,1.0,0.9861742293388294,,,0.3411065564374938
flavobacterium,flavobacterium,1.0,0.9861742293388294,,,0.3253050067581969
flectobacillus,flectobacillus,1.0,0.9861742293388294,0.0,1.0,0.2813904634939416
fluviicola,fluviicola,1.0,0.9861742293388294,,,0.2717919781590914
francisella,francisella,0.9538638985005768,0.9813914120752876,,,0.1277272707866227
frankia,frankia,0.9538638985005768,0.9813914120752876,,,0.5942395363385558
fusobacterium,fusobacterium,1.0,0.9861742293388294,,,0.150516485448025
