orgId	locusId	sysName	geneName	desc	set1IT076 CPG	set1IT077 M63_quarter_strength	set1IT080 CPG	set3IT039 CPG	set3IT040 M63_quarter_strength	set4IT039 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT042 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT045 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi
RalstoniaBSBF1503	RALBFv3_RS00760	RALBFv3_RS00760		LysR family transcriptional regulator	-0.138	-0.664	-0.541	-0.015	-0.282	-0.154	0.118	-0.025
RalstoniaBSBF1503	RALBFv3_RS00765	RALBFv3_RS00765		muconate cycloisomerase	0.286	-4.503	-0.121	-0.994	-3.733	0.021	-0.322	0.169
RalstoniaBSBF1503	RALBFv3_RS00770	RALBFv3_RS00770		muconolactone delta-isomerase	-0.705	-1.250	-0.979	-0.507	-3.002	-2.972	-0.531	-1.358
RalstoniaBSBF1503	RALBFv3_RS00775	RALBFv3_RS00775		catechol 1,2-dioxygenase	0.599	0.090	-0.650	0.505	0.261	-0.390	-0.122	0.346
RalstoniaBSBF1503	RALBFv3_RS00780	RALBFv3_RS00780		benzoate 1,2-dioxygenase large subunit	0.034	0.073	-0.086	-0.050	-0.096	-0.052	-0.109	0.142
RalstoniaBSBF1503	RALBFv3_RS00785	RALBFv3_RS00785		benzoate 1,2-dioxygenase small subunit	0.415	0.110	-0.003	0.227	-0.011	0.064	-0.028	-0.184
RalstoniaBSBF1503	RALBFv3_RS00790	RALBFv3_RS00790		NADH oxidase	0.376	0.171	0.658	-0.241	0.065	-0.145	-0.136	-0.020
RalstoniaBSBF1503	RALBFv3_RS00795	RALBFv3_RS00795		1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	0.074	-0.182	-0.009	-0.245	-0.158	-0.226	-0.034	0.047
RalstoniaBSBF1503	RALBFv3_RS00800	RALBFv3_RS00800		hypothetical protein	-0.572	-0.339	0.181	0.042	0.092	-0.364	0.117	0.025
RalstoniaBSBF1503	RALBFv3_RS00805	RALBFv3_RS00805		hypothetical protein	0.250	-0.735	0.237	-0.341	-0.827	0.010	0.505	0.023
RalstoniaBSBF1503	RALBFv3_RS00810	RALBFv3_RS00810		LysR family transcriptional regulator	0.042	-0.052	0.463	0.412	0.130	0.219	0.332	-0.133
RalstoniaBSBF1503	RALBFv3_RS00815	RALBFv3_RS00815		adenosylmethionine--8-amino-7-oxononanoate transaminase	0.343	0.047	0.325	0.106	0.086	0.009	0.218	0.117
RalstoniaBSBF1503	RALBFv3_RS00820	RALBFv3_RS00820		8-amino-7-oxononanoate synthase	0.208	0.236	0.246	0.286	-0.038	-0.353	-0.018	-0.021
RalstoniaBSBF1503	RALBFv3_RS00830	RALBFv3_RS00830		hypothetical protein	0.374	0.035	0.364	0.251	0.173	0.144	-0.219	-0.285
RalstoniaBSBF1503	RALBFv3_RS00835	RALBFv3_RS00835		hypothetical protein	0.518	0.278	-0.326	0.299	0.017	-0.033	0.000	0.302
RalstoniaBSBF1503	RALBFv3_RS00840	RALBFv3_RS00840		DUF817 domain-containing protein	0.091	-0.094	0.042	-0.151	-0.215	-0.073	0.071	-0.056
RalstoniaBSBF1503	RALBFv3_RS00845	RALBFv3_RS00845		DUF1653 domain-containing protein	-0.174	0.288	0.247	-0.164	-0.031	0.009	0.375	0.027
RalstoniaBSBF1503	RALBFv3_RS00855	RALBFv3_RS00855		hypothetical protein	0.023	-0.066	-0.180	-0.177	-0.133	0.297	0.022	-0.055
RalstoniaBSBF1503	RALBFv3_RS00860	RALBFv3_RS00860		flavin reductase	-0.121	0.166	-0.237	0.072	-0.198	0.088	-0.144	-0.288
RalstoniaBSBF1503	RALBFv3_RS00865	RALBFv3_RS00865		hypothetical protein	-0.209	-0.433	-0.287	-0.116	-0.081	0.084	-0.477	0.046
RalstoniaBSBF1503	RALBFv3_RS00870	RALBFv3_RS00870		DUF1794 domain-containing protein	0.270	-0.197	0.042	-0.437	-0.675	0.058	0.167	0.364
RalstoniaBSBF1503	RALBFv3_RS00885	RALBFv3_RS00885		hypothetical protein	-0.073	-0.320	0.159	-0.463	0.023	-0.210	-0.021	-0.031
RalstoniaBSBF1503	RALBFv3_RS00895	RALBFv3_RS00895		hypothetical protein	0.029	-0.596	0.376	0.395	0.792	-0.218	0.107	0.319
RalstoniaBSBF1503	RALBFv3_RS00900	RALBFv3_RS00900		hypothetical protein	-0.511	0.103	-0.243	-0.001	-0.685	0.153	-0.464	0.167
RalstoniaBSBF1503	RALBFv3_RS00905	RALBFv3_RS00905		membrane protein	-1.070	-0.744	0.061	-0.312	-0.128	-0.369	0.110	0.063
