feature	mean_abs_shap	level	ko_id	kegg_ko	ko_desc
L2_152	0.0	L2	191.0	K05515	mrdA; penicillin-binding protein 2 [EC:3.4.16.4]
L2_148	0.0	L2	187.0	K00856	E2.7.1.20, ADK; adenosine kinase [EC:2.7.1.20]
L2_147	0.0	L2	185.0	K09005	K09005; uncharacterized protein
L2_145	0.0	L2	180.0	K13775	atuG; citronellol/citronellal dehydrogenase
L2_144	0.0	L2	179.0	K07157	K07157; uncharacterized protein
L2_143	0.0	L2	178.0	K02558	mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
L2_131	0.0	L2	164.0	K09019	rutE; 3-hydroxypropanoate dehydrogenase [EC:1.1.1.-]
L2_141	0.0	L2	175.0	K01118	acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.-.-]
L2_140	0.0	L2	174.0	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
L2_139	0.0	L2	173.0	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump [EC:3.6.1.1]
L2_138	0.0	L2	172.0	K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
L2_109	0.0	L2	131.0	K09117	K09117; uncharacterized protein
L2_110	0.0	L2	132.0	K02970	RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21
L2_134	0.0	L2	167.0	K00573	E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
L2_132	0.0	L2	165.0	K02527	kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
L2_108	0.0	L2	129.0	K14347	SLC10A7, P7; solute carrier family 10 (sodium/bile acid cotransporter), member 7
L2_250	0.0	L2	308.0	K01971	ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
L2_251	0.0	L2	309.0	K00847	E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]
L2_255	0.0	L2	314.0	K01838	pgmB; beta-phosphoglucomutase [EC:5.4.2.6]
L2_256	0.0	L2	315.0	K05342	E2.4.1.64; alpha,alpha-trehalose phosphorylase [EC:2.4.1.64]
L2_95	0.0	L2	115.0	K01284	dcp; peptidyl-dipeptidase Dcp [EC:3.4.15.5]
L2_94	0.0	L2	114.0	K01935	bioD; dethiobiotin synthetase [EC:6.3.3.3]
L2_259	0.0	L2	320.0	K01950	E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]
L2_260	0.0	L2	321.0	K05807	bamD; outer membrane protein assembly factor BamD
L2_261	0.0	L2	323.0	K05810	yfiH; polyphenol oxidase [EC:1.10.3.-]
