condition	condition_class	n	accuracy	mean_confidence	error_rate	n_uncertain	growth_rate	al_score
methyl-d-mannoside	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
cyclodextrin	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
adenosine	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.5	0.27599886521833455
laminarin	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
oxalomalic-acid	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
glycogen	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
chondroitin-sulfate-c	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
lactic-acid-methyl-ester	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
negative-control	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
b-methyl-d-glucuronic-acid	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
melezitose	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
lactic-acid	other	289	0.5847750865051903	0.3373791275568169	0.4152249134948097	89	0.7508650519031141	0.275136694440076
galactosamine	other	265	0.5849056603773585	0.3419423053223584	0.41509433962264153	88	0.39622641509433965	0.2731560242058135
lcysteinehydrochloride	other	62	0.6290322580645161	0.26447162870843577	0.3709677419354839	28	0.11290322580645161	0.27285729902751577
nacetyldglucosamine	other	107	0.6355140186915887	0.2548313243393125	0.36448598130841126	52	0.5420560747663551	0.2716035359884749
melibiose	other	364	0.6016483516483516	0.3201925629278446	0.3983516483516484	126	0.4642857142857143	0.27080241311940256
lactose	other	299	0.5953177257525084	0.3328617484619414	0.4046822742474916	96	0.49498327759197325	0.26997902486991665
glutamine	amino_acid	191	0.5287958115183246	0.4291001973849867	0.47120418848167545	43	0.7225130890052356	0.269010378195556
acetoacetic-acid	other	269	0.5947955390334573	0.34365194001995253	0.4052044609665427	84	0.4275092936802974	0.2659551618506512
citratedi	carbon	61	0.639344262295082	0.26335835473858865	0.360655737704918	26	0.47540983606557374	0.2656740359959188
tetracyclinehydrochloride	antibiotic	37	0.6216216216216216	0.30008841588513047	0.3783783783783784	13	0.5135135135135135	0.26483141020562634
oxalicacid	other	61	0.639344262295082	0.26745879547821577	0.360655737704918	27	0.11475409836065574	0.26419518851605334
d+galactosaminehydrochloride	other	61	0.639344262295082	0.26745879547821577	0.360655737704918	27	0.2459016393442623	0.26419518851605334
methylalphadglucopyranoside	other	61	0.639344262295082	0.26745879547821577	0.360655737704918	27	0.14754098360655737	0.26419518851605334
gelatin	other	351	0.6096866096866097	0.32368234685479047	0.3903133903133903	120	0.452991452991453	0.26397583612790226
glutamic-acid	other	328	0.6097560975609756	0.3253468098994611	0.3902439024390244	106	0.8048780487804879	0.2632792936977713
nicotinicacid	other	62	0.6451612903225806	0.26447162870843577	0.3548387096774194	28	0.25806451612903225	0.2609939382002325
dmethionine	other	62	0.6451612903225806	0.26447162870843577	0.3548387096774194	28	0.0967741935483871	0.2609939382002325
alphaaminobutyricacid	other	62	0.6451612903225806	0.26447162870843577	0.3548387096774194	28	0.06451612903225806	0.2609939382002325
creatinine	other	62	0.6451612903225806	0.26447162870843577	0.3548387096774194	28	0.0967741935483871	0.2609939382002325
urea	other	62	0.6451612903225806	0.26447162870843577	0.3548387096774194	28	0.06451612903225806	0.2609939382002325
nicotinamide	other	62	0.6451612903225806	0.26447162870843577	0.3548387096774194	28	0.06451612903225806	0.2609939382002325
26diaminopimelicacid	other	62	0.6451612903225806	0.26447162870843577	0.3548387096774194	28	0.06451612903225806	0.2609939382002325
citric-acid	other	326	0.6134969325153374	0.3247905309876166	0.38650306748466257	106	0.6993865030674846	0.26097053096797634
salicin	other	348	0.6149425287356322	0.32616955301035516	0.38505747126436785	117	0.4367816091954023	0.2594634479787713
malic-acid	other	311	0.617363344051447	0.32712113185441427	0.382636655948553	103	0.5401929260450161	0.25746811996567426
hydroxy-l-proline	amino_acid	36	0.6388888888888888	0.2874606217088591	0.36111111111111116	19	0.8055555555555556	0.25730588660513426
gentiobiose	other	296	0.6148648648648649	0.33286153509044725	0.3851351351351351	95	0.5337837837837838	0.2569384628367872
sebacic-acid	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.08333333333333333	0.2547681832784627
butanone	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.027777777777777776	0.2547681832784627
citraconic-acid	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.3611111111111111	0.2547681832784627
carnitine	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.5833333333333334	0.2547681832784627
2-deoxy-adenosine	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.027777777777777776	0.2547681832784627
dihydroxy-acetone	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.4722222222222222	0.2547681832784627
m-tartaric-acid	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.5833333333333334	0.2547681832784627
tricarballylic-acid	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.027777777777777776	0.2547681832784627
tween-40	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.5833333333333334	0.2547681832784627
5-keto-d-gluconic-acid	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.1388888888888889	0.2547681832784627
1,2-propanediol	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.08333333333333333	0.2547681832784627
putrescine	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.5833333333333334	0.2547681832784627
tween-20	other	36	0.6666666666666666	0.23569545016461213	0.33333333333333337	13	0.6388888888888888	0.2547681832784627
6oalphadglucopyranosyldfructofuranose	other	61	0.6557377049180327	0.26745879547821577	0.34426229508196726	27	0.26229508196721313	0.25218631631077826
3omethyldglucopyranose	other	61	0.6557377049180327	0.26745879547821577	0.34426229508196726	27	0.13114754098360656	0.25218631631077826
gluconate	other	61	0.6557377049180327	0.26745879547821577	0.34426229508196726	27	0.5901639344262295	0.25218631631077826
aspartic-acid	other	355	0.6225352112676056	0.33198886972042874	0.3774647887323944	109	0.6422535211267606	0.25215068016186637
2ammonio2deoxydglucopyranose	other	107	0.6635514018691588	0.2548313243393125	0.33644859813084116	52	0.4766355140186916	0.25071095629705376
lproline	amino_acid	107	0.6261682242990654	0.33023547837474276	0.3738317757009346	42	0.5514018691588785	0.25037926042065695
benzoicacid	other	68	0.6764705882352942	0.22893857893921957	0.32352941176470584	38	0.38235294117647056	0.24946104799025248
allantoin	other	62	0.6612903225806451	0.26447162870843577	0.33870967741935487	28	0.04838709677419355	0.2491305773729492
anthranilicacid	other	62	0.6612903225806451	0.26447162870843577	0.33870967741935487	28	0.27419354838709675	0.2491305773729492
ammoniumchloride	other	62	0.6612903225806451	0.26447162870843577	0.33870967741935487	28	0.1774193548387097	0.2491305773729492
aldehydonacetylmuramicacid	other	62	0.6612903225806451	0.26447162870843577	0.33870967741935487	28	0.1774193548387097	0.2491305773729492
glygln	other	62	0.6612903225806451	0.26447162870843577	0.33870967741935487	28	0.532258064516129	0.2491305773729492
trigonellinehcl	other	62	0.6612903225806451	0.26447162870843577	0.33870967741935487	28	0.14516129032258066	0.2491305773729492
parabanicacid	other	62	0.6612903225806451	0.26447162870843577	0.33870967741935487	28	0.08064516129032258	0.2491305773729492
rhamnose	other	384	0.640625	0.3166555088751848	0.359375	133	0.5338541666666666	0.24557692649798046
