normalized	enigma_name	enigma_chebi	fb_condition	fb_n_experiments	fb_n_orgIds	csp_name	wom_compound	in_enigma	in_fb	in_csp	in_wom	n_datasets
berberine			Berberine	2	2			False	True	False	False	1
bhydroxybutyricacid				0	0	b-Hydroxy-Butyric-Acid		False	False	True	False	1
biles			Bile salts	14	1			False	True	False	False	1
biotin				0	0		biotin	False	False	False	True	1
bmethyldgalactoside				0	0	b-Methyl-D-Galactoside		False	False	True	False	1
bmethyldgalactoside.1				0	0	b-Methyl-D-Galactoside.1		False	False	True	False	1
bmethyldglucuronicacid				0	0	b-Methyl-D-Glucuronic-Acid		False	False	True	False	1
bmethyldxyloside				0	0	b-Methyl-D-Xyloside		False	False	True	False	1
bromosuccinicacid				0	0	Bromo-Succinic-Acid		False	False	True	False	1
butanediol				0	0	Butanediol		False	False	True	False	1
butanoate				0	0		butanoate	False	False	False	True	1
butanone				0	0	Butanone		False	False	True	False	1
butylstearate			Butyl stearate	2	1			False	True	False	False	1
butyricacid				0	0	Butyric-Acid		False	False	True	False	1
butyrolactam			Butyrolactam	2	1			False	True	False	False	1
c10:0fattyacid				0	0		C10:0 fatty acid	False	False	False	True	1
c10h19n5o4274.1799p0n22.8rbbiocrustexp				0	0		C10H19N5O4_274.1799p_0n_22.8_RB_BiocrustExp	False	False	False	True	1
c10h20n2o185.1633p0n16.7rbbiocrustexp				0	0		C10H20N2O_185.1633p_0n_16.7_RB_BiocrustExp	False	False	False	True	1
c10h20n2o3217.1546p0n24.2rbbiocrustexp				0	0		C10H20N2O3_217.1546p_0n_24.2_RB_BiocrustExp	False	False	False	True	1
c10h20n4o3245.1637p0n19.7rbbiocrustexp				0	0		C10H20N4O3_245.1637p_0n_19.7_RB_BiocrustExp	False	False	False	True	1
c10h20n4o4261.1555p0n27.8rbbiocrustexp				0	0		C10H20N4O4_261.1555p_0n_27.8_RB_BiocrustExp	False	False	False	True	1
c10h7no3190.0461p0n14.7rbbiocrustexp				0	0		C10H7NO3_190.0461p_0n_14.7_RB_BiocrustExp	False	False	False	True	1
c11h17no7276.1152p0n16.5rbbiocrustexp				0	0		C11H17NO7_276.1152p_0n_16.5_RB_BiocrustExp	False	False	False	True	1
c11h21n3o3244.1653p0n23.1rbbiocrustexp				0	0		C11H21N3O3_244.1653p_0n_23.1_RB_BiocrustExp	False	False	False	True	1
c11h22n2o3231.1709p0n24rbbiocrustexp				0	0		C11H22N2O3_231.1709p_0n_24_RB_BiocrustExp	False	False	False	True	1
c11h23n3o2230.1837p0n30.7rbbiocrustexp				0	0		C11H23N3O2_230.1837p_0n_30.7_RB_BiocrustExp	False	False	False	True	1
c11h23no2202.1758p0n16.4rbbiocrustexp				0	0		C11H23NO2_202.1758p_0n_16.4_RB_BiocrustExp	False	False	False	True	1
c12h23no198.1841p0n7.2rbbiocrustexp				0	0		C12H23NO_198.1841p_0n_7.2_RB_BiocrustExp	False	False	False	True	1
c12h25no2216.1965p0n12.4rbbiocrustexp				0	0		C12H25NO2_216.1965p_0n_12.4_RB_BiocrustExp	False	False	False	True	1
