strain	mol_norm	n_curves	n_fit_ok	any_growth	median_mu	median_A	median_lag	median_auc	normalized	enigma_name	enigma_chebi	in_fb	in_csp	in_wom	n_datasets	is_fb_anchor
FW300-N2E2	pyruvate	2	1	True	0.07471733429118524	0.09074898755476186	9.824463269169447	14.46851527777778	pyruvate	sodium pyruvate	CHEBI:50144	True	True	False	3	True
FW300-N2E2	succinatehexa	2	1	True	0.11278429923271394	0.14468386777939682	8.506276029421835	18.095196041666668	succinatehexa	sodium succinate hexahydrate	CHEBI:63686	True	False	False	2	True
FW300-N2E2	succinicacid	4	3	True	0.042851369617845914	0.15792549089792537	8.643313021115222	17.958634444444442	succinicacid	succinic acid	CHEBI:15741	True	True	False	3	True
FW300-N2E2	sucrose	4	3	True	0.029430528403589434	0.930976501135797	5.427507877353899	40.19525	sucrose	sucrose	CHEBI:17992	True	True	False	3	True
FW300-N2E2	thymidine	1	0	False				9.32346888888889	thymidine	thymidine	CHEBI:17748	True	True	True	4	True
FW300-N2E2	uracil	1	0	False				9.904072777777778	uracil	uracil	CHEBI:17568	True	False	True	3	True
FW300-N2E2	urea	1	0	False				9.853618888888889	urea	urea	CHEBI:16199	True	False	False	2	True
FW300-N2E2	uridine	1	1	True	0.0040454398671458235	0.27301533067676187	31.488714096462807	13.641502222222222	uridine	uridine	CHEBI:16704	True	True	True	4	True
FW300-N2E2	xylitol	2	0	False				8.184507222222223	xylitol	xylitol	CHEBI:17151	True	True	False	3	True
FW300-N2E3	2'deoxycytidine	1	0	False				8.179501111111112	2'deoxycytidine	2'-deoxycytidine	CHEBI:15698	True	False	False	2	True
FW300-N2E3	2deoxydribose	1	0	False				9.143394444444443	2deoxydribose	2-deoxy-D-ribose	CHEBI:28816	True	True	False	3	True
FW300-N2E3	acetate	6	6	True	0.014900672369683645	0.20896290013430963	8.808964480001686	17.110952083333334	acetate	sodium acetate	CHEBI:32954	True	True	False	3	True
FW300-N2E3	adeninehydrochloride	4	0	True	0.02507359229506632	0.17307780290661404	23.298957789376843	14.049250069444444	adeninehydrochloride	adenine hydrochloride hydrate	ME:0000414	True	False	False	2	True
FW300-N2E3	ammoniumchloride	2	0	False				8.290009027777778	ammoniumchloride	ammonium chloride	CHEBI:31206	True	False	False	2	True
FW300-N2E3	benzoicacid	4	4	True	0.03177960854511537	0.46343435284690687	21.9549187398581	26.81812638888889	benzoicacid	benzoic acid	CHEBI:30746	True	False	False	2	True
FW300-N2E3	betaalanine	1	1	True	0.08323168752309529	0.27175976437373306	21.265451440373166	20.647727083333336	betaalanine	beta-alanine	CHEBI:16958	True	True	False	3	True
FW300-N2E3	betalactose	1	0	False				9.378759583333334	betalactose	beta-lactose	CHEBI:36218	True	False	False	2	True
FW300-N2E3	butyrate	1	0	True	0.0017147304081902588	1.2953942654396216	66.33611018093255	10.254903888888888	butyrate	sodium butyrate	CHEBI:64103	True	True	False	3	True
FW300-N2E3	cholinechloride	1	1	True	0.017518103771320383	0.49587254475656184	8.894357254941344	27.469037777777782	cholinechloride	choline chloride	CHEBI:133341	True	False	False	2	True
FW300-N2E3	citricacid	5	4	True	0.08200126639948022	0.33759973189576437	8.283738724280093	27.276125555555556	citricacid	citric acid	CHEBI:30769	True	True	False	3	True
FW300-N2E3	cobaltchloridehexa	2	2	True	0.06730305394288894	1.0187118461791087	4.727221966855156	38.6875625	cobaltchloridehexa	cobalt chloride hexahydrate	CHEBI:53503	True	False	False	2	True
FW300-N2E3	cytidine	1	1	True	0.0027218453688236657	0.22086967505454913	43.10969672838431	9.439553333333334	cytidine	cytidine	CHEBI:17562	True	True	True	4	True
FW300-N2E3	cytosine	1	0	False				8.938643055555556	cytosine	cytosine	CHEBI:16040	True	False	True	3	True
FW300-N2E3	dalanine	1	1	True	0.20336000198566614	0.2839553964108879	10.663226756754543	24.117774722222222	dalanine	D-alanine	CHEBI:15570	True	False	False	2	True
FW300-N2E3	darabinose	1	0	False				9.125151666666667	darabinose	D-arabinose	CHEBI:17108	True	False	False	2	True
FW300-N2E3	dfructose	1	1	True	0.07093924330396394	0.6371794885355305	21.039325295489522	35.243169583333334	dfructose	D-fructose	CHEBI:15824	True	False	False	2	True
FW300-N2E3	dglucose6phosphate	1	1	True	0.001527018961796858	0.1587037689481602	13.687642207005235	10.05334375	dglucose6phosphate	D-glucose 6-phosphate	CHEBI:14314	True	False	False	2	True
FW300-N2E3	dglucuronicacid	1	0	False				10.18959	dglucuronicacid	D-glucuronic acid	CHEBI:4178	True	False	False	2	True
FW300-N2E3	dmannitol	5	5	True	0.06909881446029364	0.5223324094106768	12.760306678013041	35.88125069444445	dmannitol	D-mannitol	CHEBI:16899	True	False	False	2	True
FW300-N2E3	dserine	1	1	True	0.21275284635625247	0.26802599413375194	9.402743591515767	23.877270972222224	dserine	D-serine	CHEBI:16523	True	False	False	2	True
FW300-N2E3	ethanol	5	0	False				6.854125	ethanol	ethanol	CHEBI:16236	True	True	False	3	True
FW300-N2E3	formate	1	0	False				8.7299425	formate	sodium formate	CHEBI:62965	True	True	False	3	True
FW300-N2E3	gelatin	1	0	False				9.498312777777777	gelatin	gelatin	CHEBI:5291	True	True	False	3	True
FW300-N2E3	glycerol	1	1	True	0.10497530843179328	0.4317289871784575	12.113994387118408	31.063369861111106	glycerol	glycerol	CHEBI:17754	True	True	False	3	True
FW300-N2E3	glycine	5	2	True	0.002689209289151702	1.418778895570592	40.962755307808486	8.374513333333333	glycine	glycine	CHEBI:15428	True	True	True	4	True
FW300-N2E3	glycolicacid	1	0	False				8.89259361111111	glycolicacid	glycolic acid	CHEBI:17497	True	True	False	3	True
FW300-N2E3	glyglu	1	0	False				8.75153375	glyglu	Gly-Glu	CHEBI:73801	True	False	False	2	True
FW300-N2E3	hydantoin	1	0	False				8.17606138888889	hydantoin	hydantoin	CHEBI:27612	True	False	False	2	True
FW300-N2E3	inosine	1	1	True	0.006263090961009784	0.15166203394689162	27.783925479957112	11.67466125	inosine	inosine	CHEBI:17596	True	True	True	4	True
FW300-N2E3	lactulose	1	0	False				8.692819861111111	lactulose	lactulose	CHEBI:6359	True	True	False	3	True
FW300-N2E3	lalanine	5	4	True	0.049091978758837536	0.2808067843987207	9.614781525118405	23.70837875	lalanine	L-alanine	CHEBI:16977	True	False	False	2	True
FW300-N2E3	larabinose	1	0	False				9.040445555555555	larabinose	L-arabinose	CHEBI:30849	True	False	False	2	True
