rxn_id	old_deltag	old_deltagerr	new_deltag	new_deltagerr
rxn00606	-2.31	0.47	-11.18	3.81
rxn00607	-4.65	0.59	-50.87	33.29
rxn00608	-4.65	0.59	-46.53	33.18
rxn00609	14.37	1.78	61.27	90.39
rxn00610	-2.58	0.51	-15.47	4.19
rxn00611	6.14	0.18	25.52	3.73
rxn00612	6.14	0.2	22.28	3.73
rxn00613	7.45	0.23	30.16	3.79
rxn00614	-25.58	1.03	-108.43	6.36
rxn00615	-3.58	0.51	-10.7	4.2
rxn00616	2.54	0.75	-33.91	5.23
rxn00617	-0.43	0.51	-4.89	4.2
rxn00618	-2.51	0.65	-34.34	62.61
rxn00619	-4.0	0.65	-16.17	49.89
rxn00620	-8.52	0.58	-2.32	3.81
rxn00621	0.52	0.41	-32.74	3.77
rxn00623	29.45	1.14	122.86	6.74
rxn00624	10000000.0	10000000.0	-85.84	113.16
rxn00625	10.11	0.87	168.07	168.37
rxn00627	-3.8	0.45	-11.27	3.71
rxn00629	2.56	0.44	11.78	3.77
rxn00630	2.56	0.44	8.54	3.77
rxn00631	4.51	0.49	19.95	4.05
rxn00632	-8.78	0.6	-33.05	72.12
rxn00633	-3.98	0.49	-14.27	3.88
rxn00634	2.96	0.41	12.56	3.73
rxn00635	-3.67	0.46	-15.23	3.65
rxn00636	-0.46	0.4	-1.94	3.74
