genus	genus_norm	gtdb_species_clade_id	species_name	mapping_tier
Sphingomonas	sphingomonas	s__Sphingomonas_zeae--RS_GCF_014197135.1	s__Sphingomonas_zeae	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_carotinifaciens--RS_GCF_009789535.1	s__Sphingomonas_carotinifaciens	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp001897375--GB_GCA_001897375.1	s__Sphingomonas_sp001897375	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_aerolata--RS_GCF_003046295.1	s__Sphingomonas_aerolata	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_hankookensis_A--RS_GCF_001619955.1	s__Sphingomonas_hankookensis_A	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp001421355--RS_GCF_001421355.1	s__Sphingomonas_sp001421355	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp021043365--RS_GCF_021043365.1	s__Sphingomonas_sp021043365	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_pacifica--RS_GCF_004361835.1	s__Sphingomonas_pacifica	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp014193845--RS_GCF_014193845.1	s__Sphingomonas_sp014193845	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp001421765--RS_GCF_001421765.1	s__Sphingomonas_sp001421765	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp000282895--RS_GCF_000282895.1	s__Sphingomonas_sp000282895	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp001555965--RS_GCF_001555965.1	s__Sphingomonas_sp001555965	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp913775315--GB_GCA_913775315.1	s__Sphingomonas_sp913775315	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_parapaucimobilis--RS_GCF_000787715.1	s__Sphingomonas_parapaucimobilis	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_pseudosanguinis--RS_GCF_014196255.1	s__Sphingomonas_pseudosanguinis	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp002083475--GB_GCA_002083475.1	s__Sphingomonas_sp002083475	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp024666595--GB_GCA_024666595.1	s__Sphingomonas_sp024666595	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_N_sp903871605--GB_GCA_903871605.1	s__Sphingomonas_N_sp903871605	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp001425385--RS_GCF_001425385.1	s__Sphingomonas_sp001425385	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_ginsenosidimutans--RS_GCF_002374835.1	s__Sphingomonas_ginsenosidimutans	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_aurantiaca--RS_GCF_003050705.1	s__Sphingomonas_aurantiaca	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp000797515--RS_GCF_000797515.1	s__Sphingomonas_sp000797515	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_desiccabilis--RS_GCF_004135605.1	s__Sphingomonas_desiccabilis	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sanguinis--RS_GCF_001591005.1	s__Sphingomonas_sanguinis	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp017849555--GB_GCA_017849555.1	s__Sphingomonas_sp017849555	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_yantingensis--RS_GCF_014199325.1	s__Sphingomonas_yantingensis	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_endophytica--RS_GCF_014199415.1	s__Sphingomonas_endophytica	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_excrementigallinarum--GB_GCA_019112965.1	s__Sphingomonas_excrementigallinarum	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_taxi--RS_GCF_000764535.1	s__Sphingomonas_taxi	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sanguinis_B--RS_GCF_001476905.1	s__Sphingomonas_sanguinis_B	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_naasensis--RS_GCF_004792695.1	s__Sphingomonas_naasensis	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp022662475--RS_GCF_022662475.1	s__Sphingomonas_sp022662475	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp003951315--RS_GCF_003951315.1	s__Sphingomonas_sp003951315	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp001556185--RS_GCF_001556185.1	s__Sphingomonas_sp001556185	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp913777325--GB_GCA_913777325.1	s__Sphingomonas_sp913777325	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp001421805--RS_GCF_001421805.1	s__Sphingomonas_sp001421805	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp902826325--GB_GCA_902826325.1	s__Sphingomonas_sp902826325	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_koreensis--RS_GCF_002797435.1	s__Sphingomonas_koreensis	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp002280555--GB_GCA_002280555.1	s__Sphingomonas_sp002280555	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp913778135--GB_GCA_913778135.1	s__Sphingomonas_sp913778135	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp003050745--RS_GCF_003050745.1	s__Sphingomonas_sp003050745	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp002280565--GB_GCA_002280565.1	s__Sphingomonas_sp002280565	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp016820445--RS_GCF_016820445.1	s__Sphingomonas_sp016820445	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_adhaesiva--RS_GCF_002374855.1	s__Sphingomonas_adhaesiva	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp000251145--RS_GCF_000251145.1	s__Sphingomonas_sp000251145	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_glacialis--RS_GCF_014653575.1	s__Sphingomonas_glacialis	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_aquatilis--RS_GCF_014196115.1	s__Sphingomonas_aquatilis	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp002292295--GB_GCA_002292295.1	s__Sphingomonas_sp002292295	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp003075315--GB_GCA_003075315.1	s__Sphingomonas_sp003075315	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp004340945--RS_GCF_004340945.1	s__Sphingomonas_sp004340945	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp024072375--GB_GCA_024072375.1	s__Sphingomonas_sp024072375	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp001557215--RS_GCF_001557215.1	s__Sphingomonas_sp001557215	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_leidyi--RS_GCF_011761945.1	s__Sphingomonas_leidyi	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp913777295--GB_GCA_913777295.1	s__Sphingomonas_sp913777295	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp900109205--RS_GCF_900109205.1	s__Sphingomonas_sp900109205	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_paucimobilis--RS_GCF_000739895.2	s__Sphingomonas_paucimobilis	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_panni--RS_GCF_022664435.1	s__Sphingomonas_panni	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp005503355--RS_GCF_005503355.1	s__Sphingomonas_sp005503355	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_olei--RS_GCF_000980895.1	s__Sphingomonas_olei	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp001421965--RS_GCF_001421965.1	s__Sphingomonas_sp001421965	genus_exact
